stream,tag,value,n,loser_share_pct,trade_share_pct,lift,WR_inside,PF_inside,expR_inside,WR_outside,PF_outside,expR_outside,n_losers_inside
kept_583,stop_bucket,90-inf,68,8.4,11.7,0.721,60.3,2.109,0.3,42.9,1.301,0.134,27
kept_583,d1c_keep,True,583,100.0,100.0,1.0,44.9,1.361,0.153,,,,321
kept_583,drift_strength_quintile,driftQ2,106,19.3,18.2,1.062,41.5,1.297,0.135,45.7,1.376,0.157,62
kept_583,drift_strength_quintile,driftQ3,111,19.6,19.0,1.031,43.2,1.452,0.191,45.3,1.339,0.144,63
kept_583,drift_strength_quintile,driftQ4,111,17.4,19.0,0.916,49.5,1.589,0.225,43.9,1.313,0.136,56
kept_583,drift_strength_quintile,driftQ1,117,26.2,20.1,1.304,28.2,0.65,-0.213,49.1,1.648,0.245,84
kept_583,drift_strength_quintile,driftQ5,122,15.0,20.9,0.715,60.7,2.644,0.428,40.8,1.172,0.08,48
kept_583,drift_strength_quintile,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,vwap_side,above_vwap,276,46.4,47.3,0.98,46.0,1.477,0.193,44.0,1.265,0.117,149
kept_583,vwap_side,below_vwap,291,51.1,49.9,1.024,43.6,1.267,0.118,46.2,1.462,0.188,164
kept_583,vwap_side,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,vwap_distance_bucket,<10pt,152,24.0,26.1,0.92,49.3,2.112,0.346,43.4,1.183,0.085,77
kept_583,vwap_distance_bucket,10-25pt,176,29.6,30.2,0.98,46.0,1.346,0.152,44.5,1.367,0.153,95
kept_583,vwap_distance_bucket,25-50pt,153,28.7,26.2,1.092,39.9,0.98,-0.01,46.7,1.538,0.211,92
kept_583,vwap_distance_bucket,50pt+,86,15.3,14.8,1.035,43.0,1.266,0.115,45.3,1.377,0.16,49
kept_583,vwap_distance_bucket,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,vwap_slope_side,falling,187,28.0,32.1,0.874,51.9,1.806,0.287,41.7,1.197,0.09,90
kept_583,vwap_slope_side,unknown,205,37.7,35.2,1.072,41.0,1.224,0.099,47.1,1.439,0.182,121
kept_583,vwap_slope_side,rising,161,27.7,27.6,1.004,44.7,1.245,0.112,45.0,1.41,0.169,89
kept_583,vwap_slope_side,flat,30,6.5,5.1,1.271,30.0,0.826,-0.095,45.8,1.398,0.166,21
kept_583,opening_drive_class,drive_down,250,40.5,42.9,0.944,48.0,1.615,0.234,42.6,1.201,0.092,130
kept_583,opening_drive_class,drive_up,280,48.0,48.0,0.999,45.0,1.328,0.143,44.9,1.393,0.162,154
kept_583,opening_drive_class,flat,41,9.3,7.0,1.329,26.8,0.623,-0.22,46.3,1.44,0.181,30
kept_583,opening_drive_class,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,with_against_drive,with_drive,416,65.1,71.4,0.912,49.8,1.754,0.279,32.9,0.71,-0.162,209
kept_583,with_against_drive,against_drive,114,23.4,19.6,1.195,34.2,0.721,-0.155,47.5,1.58,0.228,75
kept_583,with_against_drive,neutral_drive,41,9.3,7.0,1.329,26.8,0.623,-0.22,46.3,1.44,0.181,30
kept_583,with_against_drive,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,near_pdh_10,False,525,89.1,90.1,0.989,45.5,1.397,0.166,39.7,1.068,0.032,286
kept_583,near_pdh_10,True,42,8.4,7.2,1.168,35.7,1.012,0.006,45.7,1.391,0.165,27
kept_583,near_pdh_10,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_pdh_20,False,482,81.3,82.7,0.983,45.9,1.396,0.167,40.6,1.199,0.087,261
kept_583,near_pdh_20,True,85,16.2,14.6,1.111,38.8,1.193,0.084,46.0,1.39,0.165,52
kept_583,near_pdh_20,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_pdl_10,False,541,92.5,92.8,0.997,45.1,1.401,0.167,42.9,0.94,-0.031,297
kept_583,near_pdl_10,True,26,5.0,4.5,1.118,38.5,0.798,-0.112,45.2,1.395,0.165,16
kept_583,near_pdl_10,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_pdl_20,False,505,86.6,86.6,1.0,45.0,1.397,0.166,44.9,1.151,0.071,278
kept_583,near_pdl_20,True,62,10.9,10.6,1.025,43.5,1.133,0.064,45.1,1.392,0.164,35
kept_583,near_pdl_20,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_onh_10,True,64,10.6,11.0,0.965,46.9,1.355,0.149,44.7,1.361,0.154,34
kept_583,near_onh_10,False,503,86.9,86.3,1.007,44.5,1.366,0.155,47.5,1.329,0.14,279
kept_583,near_onh_10,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_onh_20,True,122,22.4,20.9,1.072,41.0,1.077,0.035,46.0,1.443,0.184,72
kept_583,near_onh_20,False,445,75.1,76.3,0.984,45.8,1.451,0.187,42.0,1.094,0.043,241
kept_583,near_onh_20,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_onl_10,False,514,86.9,88.2,0.986,45.7,1.435,0.181,39.1,0.89,-0.054,279
kept_583,near_onl_10,True,53,10.6,9.1,1.165,35.8,0.8,-0.1,45.8,1.428,0.178,34
kept_583,near_onl_10,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_onl_20,False,463,77.9,79.4,0.981,46.0,1.454,0.186,40.8,1.052,0.025,250
kept_583,near_onl_20,True,104,19.6,17.8,1.1,39.4,1.027,0.013,46.1,1.446,0.183,63
kept_583,near_onl_20,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_pmh_10,False,527,89.4,90.4,0.989,45.5,1.414,0.171,39.3,0.969,-0.016,287
kept_583,near_pmh_10,True,40,8.1,6.9,1.181,35.0,0.888,-0.063,45.7,1.408,0.169,26
kept_583,near_pmh_10,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_pmh_20,False,483,82.6,82.8,0.996,45.1,1.429,0.175,44.0,1.094,0.047,265
kept_583,near_pmh_20,True,84,15.0,14.4,1.038,42.9,1.072,0.037,45.3,1.422,0.173,48
kept_583,near_pmh_20,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_pml_10,False,524,90.7,89.9,1.009,44.5,1.359,0.153,49.2,1.371,0.156,291
kept_583,near_pml_10,True,43,6.9,7.4,0.929,48.8,1.428,0.176,44.6,1.355,0.151,22
kept_583,near_pml_10,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,near_pml_20,True,96,17.1,16.5,1.041,42.7,1.208,0.093,45.4,1.393,0.165,55
kept_583,near_pml_20,False,471,80.4,80.8,0.995,45.2,1.399,0.167,43.8,1.211,0.094,258
kept_583,near_pml_20,unknown,16,2.5,2.7,0.908,50.0,1.228,0.101,44.8,1.365,0.155,8
kept_583,regime_gap_and_go_1000,False,515,85.7,88.3,0.97,46.6,1.493,0.198,32.4,0.691,-0.185,275
kept_583,regime_gap_and_go_1000,True,56,12.1,9.6,1.265,30.4,0.647,-0.218,46.5,1.477,0.193,39
kept_583,regime_gap_and_go_1000,unknown,12,2.2,2.1,1.059,41.7,0.939,-0.031,45.0,1.371,0.157,7
kept_583,regime_gap_fill_1000,False,478,81.6,82.0,0.995,45.2,1.429,0.177,43.8,1.094,0.045,262
kept_583,regime_gap_fill_1000,True,93,16.2,16.0,1.016,44.1,1.115,0.055,45.1,1.415,0.172,52
