key,achievable,missing,fill_instant,exit_instant,hold_time_min,first_surface_poll,first_tail3_poll,staleness_min,freshness_passed,pushed_out_of_tail3,direction,backtest_R,r_1mtruth,win
2021-11-09T09:40:00-05:00,True,False,2021-11-09 09:40:00-05:00,2021-11-09 09:45:00-05:00,5.0,2021-11-09 09:40:00-05:00,2021-11-09 09:40:00-05:00,0.0,True,False,short,1.484,,True
2021-11-09T10:10:00-05:00,False,True,2021-11-09 10:10:00-05:00,2021-11-09 14:05:00-05:00,235.0,2021-11-09 10:55:00-05:00,2021-11-09 10:55:00-05:00,45.0,False,False,short,0.309,,True
2021-11-11T09:50:00-05:00,True,False,2021-11-11 09:50:00-05:00,2021-11-11 10:00:00-05:00,10.0,2021-11-11 09:50:00-05:00,2021-11-11 09:50:00-05:00,0.0,True,False,short,1.488,,True
2021-11-12T10:05:00-05:00,True,False,2021-11-12 10:05:00-05:00,2021-11-12 10:45:00-05:00,40.0,2021-11-12 10:05:00-05:00,2021-11-12 10:05:00-05:00,0.0,True,False,short,-1.022,,False
2021-11-16T10:40:00-05:00,False,True,2021-11-16 10:40:00-05:00,2021-11-16 11:10:00-05:00,30.0,2021-11-16 10:55:00-05:00,2021-11-16 10:55:00-05:00,15.0,False,False,short,-1.02,,False
2021-11-17T09:40:00-05:00,True,False,2021-11-17 09:40:00-05:00,2021-11-17 09:50:00-05:00,10.0,2021-11-17 09:40:00-05:00,2021-11-17 09:40:00-05:00,0.0,True,False,short,1.48,,True
2021-11-18T09:40:00-05:00,True,False,2021-11-18 09:40:00-05:00,2021-11-18 09:45:00-05:00,5.0,2021-11-18 09:40:00-05:00,2021-11-18 09:40:00-05:00,0.0,True,False,short,-1.045,,False
2021-11-18T10:25:00-05:00,False,True,2021-11-18 10:25:00-05:00,2021-11-18 11:30:00-05:00,65.0,2021-11-18 11:10:00-05:00,2021-11-18 11:10:00-05:00,45.0,False,False,short,-1.009,,False
2021-11-25T10:45:00-05:00,True,False,2021-11-25 10:45:00-05:00,2021-11-25 12:55:00-05:00,130.0,2021-11-25 10:45:00-05:00,2021-11-25 10:45:00-05:00,0.0,True,False,long,0.035,,True
2021-11-26T09:40:00-05:00,True,False,2021-11-26 09:40:00-05:00,2021-11-26 09:40:00-05:00,0.0,2021-11-26 09:40:00-05:00,2021-11-26 09:40:00-05:00,0.0,True,False,long,-1.024,,False
2021-11-30T10:35:00-05:00,True,False,2021-11-30 10:35:00-05:00,2021-11-30 10:35:00-05:00,0.0,2021-11-30 10:35:00-05:00,2021-11-30 10:35:00-05:00,0.0,True,False,long,-1.016,,False
2021-11-30T11:05:00-05:00,False,True,2021-11-30 11:05:00-05:00,2021-11-30 15:00:00-05:00,235.0,2021-11-30 11:50:00-05:00,2021-11-30 11:50:00-05:00,45.0,False,False,short,0.135,,True
2021-12-01T10:20:00-05:00,True,False,2021-12-01 10:20:00-05:00,2021-12-01 11:10:00-05:00,50.0,2021-12-01 10:20:00-05:00,2021-12-01 10:20:00-05:00,0.0,True,False,long,1.495,,True
2021-12-02T10:35:00-05:00,True,False,2021-12-02 10:35:00-05:00,2021-12-02 10:40:00-05:00,5.0,2021-12-02 10:35:00-05:00,2021-12-02 10:35:00-05:00,0.0,True,False,long,-1.014,,False
2021-12-06T09:50:00-05:00,True,False,2021-12-06 09:50:00-05:00,2021-12-06 10:15:00-05:00,25.0,2021-12-06 09:50:00-05:00,2021-12-06 09:50:00-05:00,0.0,True,False,short,-0.007,,False
2021-12-09T09:50:00-05:00,True,False,2021-12-09 09:50:00-05:00,2021-12-09 09:55:00-05:00,5.0,2021-12-09 09:50:00-05:00,2021-12-09 09:50:00-05:00,0.0,True,False,long,-0.018,,False
2021-12-10T10:55:00-05:00,True,False,2021-12-10 10:55:00-05:00,2021-12-10 11:05:00-05:00,10.0,2021-12-10 10:55:00-05:00,2021-12-10 10:55:00-05:00,0.0,True,False,short,1.494,,True
2021-12-13T09:40:00-05:00,True,False,2021-12-13 09:40:00-05:00,2021-12-13 10:25:00-05:00,45.0,2021-12-13 09:40:00-05:00,2021-12-13 09:40:00-05:00,0.0,True,False,short,1.497,,True
2021-12-14T09:50:00-05:00,True,False,2021-12-14 09:50:00-05:00,2021-12-14 10:15:00-05:00,25.0,2021-12-14 09:50:00-05:00,2021-12-14 09:50:00-05:00,0.0,True,False,long,-1.007,,False
2021-12-16T09:50:00-05:00,False,True,2021-12-16 09:50:00-05:00,2021-12-16 10:10:00-05:00,20.0,2021-12-16 10:35:00-05:00,2021-12-16 10:35:00-05:00,45.0,False,False,short,1.498,,True
