rule,scope_n,n,wr,pf,avgR,totR,maxdd,yrs_pos,ex2024,exfri,exboth,long_avgR,short_avgR,reduction,p2r,denom_flag,artifact_count,stress_2xcost,stress_slip01,stress_slip02,note
F4.dol_direction_only,5056,2016,34.82142857142857,1.007682117663709,0.005210471994991049,10.504311541901956,-71.73379441268987,3,-0.01598825632491971,-0.05349143722720854,-0.06922974161946634,0.04541758287225311,-0.030478985974713487,60.12658227848101,34.82142857142857,"one-year-carry,Friday-only",0,-0.03422191315287507,-0.004789528005008967,-0.014789528005008979,
F4.dol_direction_0.75to3R,5056,142,33.098591549295776,0.9052360506805155,-0.06735562849726509,-9.564499246611643,-21.914259504678704,2,-0.05065016019453452,-0.0705287185903965,-0.08581441613320637,0.030681986258254943,-0.15249355710074303,97.19145569620254,33.098591549295776,reduction>70%,0,-0.12766900347340346,-0.07735562849726511,-0.08735562849726515,
F4.dol_direction_skip_lt0.5R,5056,316,31.962025316455694,0.8551165964248835,-0.10512561405798974,-33.21969404232476,-50.80503076445776,3,-0.04962189746612206,-0.12327998657808663,-0.10144731259933758,0.03964808533404679,-0.1846092137242059,93.75,31.962025316455694,reduction>70%,0,-0.16911198760965038,-0.11512561405798977,-0.1251256140579898,
F4.dol_direction_skip_gt3R,5056,1924,35.29106029106029,1.0309924328319273,0.020833174804399942,40.08302832366549,-70.5599479458075,2,-0.006688665763735925,-0.038255213043646714,-0.05853733890661242,0.05502388195918823,-0.01108960604665366,61.946202531645575,35.29106029106029,"one-year-carry,Friday-only",0,-0.017065459123008872,0.01083317480439993,0.0008331748043999064,
F5.long_only_15m_drive_up,2697,527,34.15559772296015,0.9920461507804776,-0.005391954971100757,-2.841560269770099,-44.2390514690504,2,-0.039200500093582516,-0.048853607670768275,-0.0602078901167078,-0.005391954971100757,,80.45977011494253,34.15559772296015,reduction>70%,0,-0.03545184163100608,-0.015391954971100763,-0.025391954971100757,
F5.short_only_15m_drive_down,2697,566,34.09893992932862,0.9794960555586194,-0.014021592122045868,-7.9362211410779615,-39.0176888617949,4,-0.019529023603508947,-0.006006940510328861,-0.018418733478516608,,-0.014021592122045868,79.01371894697813,34.09893992932862,reduction>70%,0,-0.05101138212395037,-0.02402159212204588,-0.0340215921220459,
F5.long_only_30m_drive_up,2544,467,33.40471092077088,0.9584420421604423,-0.028511059895858,-13.314664971365687,-22.669916157411592,2,-0.043085464610818164,-0.07308861036840066,-0.08595010933036033,-0.028511059895858,,81.64308176100629,33.40471092077088,reduction>70%,0,-0.05916344741484236,-0.03851105989585802,-0.04851105989585805,
F5.short_only_30m_drive_down,2544,433,35.33487297921478,1.0297129045353797,0.019983217185007417,8.652733041108212,-17.95425423020655,3,0.024593221426830143,0.0011043899257851904,0.009787920580647626,,0.019983217185007417,82.97955974842768,35.33487297921478,"reduction>70%,one-year-carry",0,-0.020079755006428578,0.009983217185007422,-1.6782814992610114e-05,
F5.rev_30mHigh_sweptFailed_short,2544,1027,33.20350535540409,0.9333009433962295,-0.04649047282290327,-47.74571558912166,-67.83983047775503,1,-0.06039866367875165,-0.04521134070044964,-0.0652164247804333,,-0.04649047282290327,59.63050314465409,33.20350535540409,ok,0,-0.08908610630792924,-0.05649047282290328,-0.06649047282290328,
F5.rev_30mLow_sweptFailed_long,2544,938,36.353944562899784,1.0888329002755865,0.05832281777193164,54.70680307007188,-19.290093625266643,6,0.0517783661716468,0.027123949483858746,0.028606184598263834,0.05832281777193164,,63.12893081761006,36.353944562899784,ok,0,0.026027298656869667,0.04832281777193165,0.03832281777193161,
F6.longs_only_above_VWAP,5045,773,35.316946959896505,1.047943251973942,0.03187923071837557,24.642645345304317,-51.882745163612825,4,0.0017406251818786725,0.008090306360272952,-0.026248780527386145,0.03187923071837557,,84.6778989098117,35.316946959896505,reduction>70%,0,0.00425005263985592,0.021879230718375556,0.01187923071837557,
F6.shorts_only_below_VWAP,5045,805,36.77018633540373,1.1106178261079085,0.07218553529916945,58.10935591583141,-34.24375970617701,5,0.08254971846669154,0.023933206319223695,0.04128229734890452,,0.07218553529916945,84.0436075322101,36.64596273291926,reduction>70%,0,0.0412654805362271,0.062185535299169446,0.05218553529916944,
F6.longs_only_VWAP_slope_up,4956,295,35.59322033898305,1.0537035186693167,0.03570314001227375,10.532426303620758,-30.696402127692952,5,0.005936831165095139,0.0062804450716885205,-0.042446018736242506,0.03570314001227375,,94.04761904761905,35.59322033898305,reduction>70%,0,0.00360966985505595,0.025703140012273775,0.01570314001227373,
F6.shorts_only_VWAP_slope_down,4956,282,39.00709219858156,1.2117947570918948,0.1340341141306855,37.79762018485331,-16.787213046976454,3,0.2063378739045092,0.11576700742616124,0.19817816440543837,,0.1340341141306855,94.30992736077482,39.00709219858156,reduction>70%,0,0.09785546230392413,0.12403411413068546,0.11403411413068547,
F6.block_gt3_VWAP_crossings,5045,182,35.16483516483517,0.9937110583037355,-0.0043162943962065615,-0.7855655801095942,-14.247955080166765,3,-0.05901613043724136,-0.03135319875653313,-0.09634720427187195,0.04244014719939891,-0.03860435156631722,96.39246778989097,35.16483516483517,reduction>70%,0,-0.06357764373746815,-0.014316294396206583,-0.02431629439620663,
F6.block_both_ONH_ONL_swept,3029,1986,34.843907351460224,1.0185533439467276,0.012486511974570775,24.79821278149756,-34.291896192908254,3,0.0028519682001531804,-0.017139907668582706,-0.02867985633500552,0.038290679296026045,-0.00916031727842782,34.43380653681083,34.79355488418933,Friday-only,0,-0.020344196594665107,0.002486511974570762,-0.007513488025429249,
F6.first_sweep_dir_lock,5056,3720,34.73118279569892,0.998357461667124,-0.0011188316261484205,-4.162053649272124,-129.81537503304975,4,-0.006445823568763878,-0.023926949955436913,-0.02994909689650566,0.0007959532672021684,-0.002615445106008662,26.42405063291139,34.704301075268816,ok,0,-0.0441731471232646,-0.011118831626148438,-0.021118831626148457,
