rule,n,days,tpd,wr,pf,avgR,totR,maxdd,yrs_pos,ex2024,exfri,exboth,reduction,r_removed,r_kept,bleed_days_improved,gooddays_survive,denom_flag
B.standalone_sig#3,145,145,1.0,36.55172413793103,1.1134231195888658,0.0736291393678045,10.676225208331653,-15.151952341646576,3,0.09594186850043163,0.04304433735805088,0.07890393466181582,91.07142857142857,57.02812822003869,10.676225208331653,yes,no,REJECTED_DENOMINATOR_TRICK (reduction>70%)
B.standalone_sig#4+,26,23,1.1304347826086956,42.30769230769231,1.4177797462254949,0.24704318242949566,6.423122743166887,-4.108775287922159,3,0.08115805313037196,0.2630916649633364,0.10047801285917851,98.39901477832512,61.281230685203454,6.423122743166887,yes,no,"REJECTED_DENOMINATOR_TRICK (reduction>70%,n<50)"
C.stop_after_1_loss,1146,961,1.1925078043704473,36.038394415357764,1.0903305841083817,0.05905716803056632,67.679514563029,-46.901710791982154,2,-0.012044704983050658,0.05009841117617564,-0.006898420469508221,29.433497536945808,0.02483886534133717,67.679514563029,yes,no,REJECTED_DENOMINATOR_TRICK (profit from one year)
C.stop_after_2_losses,1537,961,1.599375650364204,35.263500325309046,1.0538565437589702,0.035650069211181405,54.79415637758582,-52.28501923186412,2,-0.01804798033649425,0.02631695163378525,-0.02440218031080702,5.35714285714286,12.910197050784518,54.79415637758582,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
C.stop_daycum<=-1,1183,961,1.2310093652445369,35.756551141166526,1.0769440656049372,0.05053240240603326,59.77983204633735,-47.442915076178934,2,-0.018970926925463642,0.045663801148543355,-0.010244276024180805,27.155172413793103,7.924521382032992,59.77983204633735,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
C.stop_daycum<=-1.5,1548,961,1.6108220603537982,35.27131782945737,1.0541821670528233,0.03586195793074347,55.51431087679089,-51.407241454086325,2,-0.020551700332676056,0.025929105757509507,-0.02749697267940994,4.679802955665025,12.190042551579452,55.51431087679089,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
C.stop_daycum<=-2,1548,961,1.6108220603537982,35.27131782945737,1.0541821670528233,0.03586195793074347,55.51431087679089,-51.407241454086325,2,-0.020551700332676056,0.025929105757509507,-0.02749697267940994,4.679802955665025,12.190042551579452,55.51431087679089,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
D.stop_day_if_first_loses,1184,961,1.2320499479708638,35.72635135135135,1.075515088628447,0.04961788343059224,58.747573981821205,-47.442915076178934,2,-0.020066372479615714,0.04451951042066154,-0.011627244614832968,27.093596059113302,8.956779446549135,58.747573981821205,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
D.stop_if_first_two_lose,1548,961,1.6108220603537982,35.27131782945737,1.0541821670528233,0.03586195793074347,55.51431087679089,-51.407241454086325,2,-0.020551700332676056,0.025929105757509507,-0.02749697267940994,4.679802955665025,12.190042551579452,55.51431087679089,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
D.first_loses_before_10_stop,1255,961,1.3059313215400625,35.61752988047809,1.0701075845965595,0.04615390763536608,57.92315408238443,-47.28858734113798,2,-0.01936105992174303,0.042300563349744726,-0.009857761506021098,22.72167487684729,9.781199345985911,57.92315408238443,yes,yes,REJECTED_DENOMINATOR_TRICK (profit from one year)
