model,n,n_skipped_rule,n_skipped_busy,n_frozen,wr_pct,pf_R,avgR,totR,maxDD_R,avg_win_R,avg_loss_R,yrs_pos,n_years,avgR_ex2024,avgR_exFri,avgR_exBoth,long_avgR,short_avgR,nyam_avgR,nyam_avgR_ex2024,dol_exists_pct,avg_dol_dist_R,dol_bucket_lt0_5,dol_bucket_0_5_1,dol_bucket_1_2,dol_bucket_2_3,dol_bucket_gt3,pct_horizon_timeout,pct_dol_before_stop,pct_dol_before_2R,pct_2R_before_dol,pct_neither_before_stop,artifact_count
partial_50@1R_BE_rest@2R,5056,0,0,5056,50.35601265822785,0.9326988255135681,-0.0348117651593113,-176.00828464547794,182.04200846258442,0.9580617414176513,-1.0419256885636725,1,6,-0.0524908690127244,-0.053916216707813686,-0.07165712342865872,-0.016385094303886055,-0.05082696042034817,0.015562639710602918,-0.026435139463377028,99.92088607594937,1.1263423554229568,62.33174980205859,13.558986539984163,10.352335708630244,4.592240696753761,9.164687252573238,0.0,69.73475851148059,84.54077593032461,12.569279493269992,28.57990506329114,0
partial_50@1R_BE_rest@DOL,4991,4,61,5056,50.27048687637748,0.8715170731071286,-0.04885405902348342,-243.83060858620576,252.48738026932364,0.6592012758908784,-0.7646118492330458,1,6,-0.061109384027915464,-0.0595240604262123,-0.07181346026635066,-0.026326214220658613,-0.06857968036530296,-0.0032938433910542535,-0.02936650060307401,100.0,1.1151684119810283,62.85313564415949,13.524343818873973,10.098176718092567,4.488078541374474,9.0362652774995,0.0,69.9859747545582,84.81266279302744,12.342215988779802,28.39110398717692,0
dol_nearest_any,4957,4,95,5056,60.66169053863224,0.8428292823156671,-0.049643877143427426,-246.08469899996976,274.55532021035185,0.43885309194949873,-0.8664725769187119,0,6,-0.052426182445014353,-0.056974800259042356,-0.059441467285950594,-0.024215236389646465,-0.07207012333592294,-0.017494080967473728,-0.024483721997012417,100.0,1.0991255665621193,63.20355053459754,13.496066169053863,10.026225539640912,4.377647770829131,8.896509985878556,0.0,70.20375226951785,85.0917893887432,12.104095218882389,28.182368367964493,0
dol_PDH_PDL_only,3185,76,1795,5056,15.63579277864992,1.0283613124161826,0.025005308346470023,79.64190708350702,192.00415208752673,5.798714331877059,-1.0450754857429356,4,6,0.014386895661112495,0.04007843507328693,0.034293958210911225,0.0854605614238996,-0.02513678553279952,0.06252196336041474,-0.09871518650919626,100.0,1.3634077842693986,59.591836734693885,12.967032967032969,10.832025117739404,5.054945054945055,11.554160125588698,0.6593406593406593,68.22605965463109,81.6640502354788,15.070643642072213,29.5447409733124,0
dol_prior_session_only,3033,91,1932,5056,14.408176722716782,1.0365323033688687,0.03267986354048272,99.11802611828409,212.71070928258575,6.43542144925009,-1.0451314126363656,4,6,0.012232833696406363,0.04834418344932849,0.030616164223607006,0.09665876623835443,-0.01898367230910976,-7.951004013699363e-05,-0.1410039884801337,100.0,1.4035997891530705,59.14935707220573,12.957467853610286,10.847345862182657,5.044510385756676,12.001318826244642,0.8242664029014177,67.88658094296076,81.17375535773161,15.496208374546653,29.87141444114738,0
dol_confirmed_1H_only,4953,4,99,5056,60.48859277205734,0.8430861052161563,-0.050091231342447265,-248.1018688391413,280.3037838843707,0.44493723967916476,-0.8813455066432101,0,6,-0.05238341975116953,-0.05770346343670339,-0.05960422295465951,-0.02679204888180497,-0.07065402179231858,-0.02143226623082189,-0.027205038598787933,100.0,1.099623052514783,63.19402382394509,13.506965475469412,10.014132848778518,4.381183121340602,8.903694730466384,0.0,70.19987886129618,85.07974964667878,12.113870381586917,28.184938421158893,0
dol_confirmed_4H_only,4545,26,485,5056,48.976897689768975,0.9134002920586589,-0.04381410636506876,-199.1351134292375,231.99395933903497,0.9435554002356449,-1.0107645865291353,1,6,-0.07344759753829545,-0.05860973602732549,-0.08424301505961718,0.0006931693869480887,-0.08275797264808347,-0.04396511968048235,-0.09763916529527572,100.0,1.0826155587641453,64.62046204620462,13.003300330033005,9.482948294829482,4.180418041804181,8.712871287128712,0.11001100110011,71.08910891089108,85.5005500550055,11.815181518151816,27.348734873487352,0
dol_session_so_far_only,3891,112,1053,5056,24.081213055769727,0.9802978894685087,-0.015581900691152213,-60.62917558927326,192.5471503738239,3.2194922831502057,-1.0431503203054293,2,6,-0.02845913425890181,-0.04019310114599746,-0.04415283177617434,0.02601378817632845,-0.05282148965288111,-0.0005089770925125155,-0.08666947831797697,99.94859933179131,1.240283448521509,60.838261763949596,13.653895602982772,10.41398817176652,4.731293391617383,10.362561069683723,0.05140066820868672,69.24659295448701,83.23476472100796,13.731036256106968,28.86147519917759,0
dol_equal_HL_only,3946,245,865,5056,40.775468829194125,0.9223734382842924,-0.04579505923067837,-180.70730372425686,231.54299712755915,1.3344923832908537,-1.0042733168417775,2,6,-0.0813032118129459,-0.05281833872578087,-0.08682221091573333,-0.006592638931991599,-0.07709981782835353,-0.10628248446234319,-0.15093586458705135,100.0,1.061053474340351,67.48606183476939,12.417638114546376,7.8813988849467815,3.6239229599594527,8.590978205778004,0.30410542321338063,72.78256462240243,86.36594019260009,11.403953370501775,25.646224024328433,0
dol_htf_pocket_only,3773,88,1195,5056,21.68036045587066,1.1028296315180854,0.08421117123030535,317.7287490519421,125.65102786549318,4.165751469037371,-1.0456365321897216,5,6,0.08732555705427307,0.09367980938025272,0.10124342831136615,0.11407779879750791,0.05795888156092662,0.01903179161963353,-0.037177118975429364,100.0,1.2702549355698738,60.21733368672144,13.517095149748211,10.681155579114762,4.8767558971640605,10.707659687251523,0.10601643254704478,69.06970580439969,82.69281738669494,14.153193745030478,28.96899019347999,0
hybrid_TP1@1R_TP2@DOL,4957,4,95,5056,45.894694371595726,0.8775429109808237,-0.04688905306223012,-232.4290360294747,241.80280938903016,0.7321387793787848,-0.7076975239061186,0,6,-0.05693883651713502,-0.05843456199472507,-0.06847517087125711,-0.02468325437316799,-0.06647298258185477,-0.0021937085130348576,-0.025003847345778266,100.0,1.0991255665621193,63.20355053459754,13.496066169053863,10.026225539640912,4.377647770829131,8.896509985878556,0.0,70.20375226951785,85.0917893887432,12.104095218882389,28.182368367964493,0
hybrid_TP1@0.75R_TP2@DOL,4957,4,95,5056,50.89772039540045,0.8548517707364881,-0.0511767395827604,-253.6830981117433,262.0568714712988,0.5921794822908387,-0.7180574905224032,0,6,-0.06116922262795961,-0.0636974832549786,-0.07373440644546775,-0.033170070760126125,-0.06705733627030004,-0.01668783490789219,-0.036709764982601326,100.0,1.0991255665621193,63.20355053459754,13.496066169053863,10.026225539640912,4.377647770829131,8.896509985878556,0.0,70.20375226951785,85.0917893887432,12.104095218882389,28.182368367964493,0
hybrid_DOL_0.75to3R,995,4039,22,5056,42.01005025125628,0.9162200967083173,-0.05120227356646414,-50.94626219863182,77.35419360480697,1.3328951982811925,-1.0538933363607803,2,6,-0.08562221050185334,-0.03943112382752285,-0.07353913062955002,-0.06198423749903303,-0.04185655623654513,0.09225875350933048,0.08296519006260474,100.0,1.5195350404314383,0.0,24.321608040201003,52.462311557788944,23.015075376884422,0.20100502512562815,0.0,42.01005025125628,71.95979899497488,20.502512562814072,57.185929648241206,0
hybrid_DOL_min1R,1155,3806,95,5056,28.83116883116883,0.8556268952195242,-0.10940227631799984,-126.35962914728982,160.20885175263922,2.2488590708436202,-1.0647563257155903,1,6,-0.08955950713446754,-0.11907708493505428,-0.10580724122187868,-0.0310801110188727,-0.16256572282191314,-0.19618521354459606,-0.165036524012687,100.0,3.884926533882727,0.0,0.0,43.03030303030303,18.787878787878785,38.18181818181819,0.0,28.83116883116883,40.086580086580085,51.94805194805194,64.24242424242425,0
hybrid_skip_DOL_lt0.75R,1387,3574,95,5056,33.23720259552992,0.8646916079398901,-0.0960634698775851,-133.24003272021054,166.2962450173386,1.8470145481523954,-1.0634057661106533,1,6,-0.09547324389674422,-0.09515273785876996,-0.0997071405461411,-0.024989612915487243,-0.14609457557694885,-0.08425831464261056,-0.08796197876781424,100.0,3.378302844512115,0.0,16.726748377793797,35.83273251622206,15.645277577505407,31.79524152847873,0.0,33.23720259552992,49.4592645998558,43.25883201153569,60.994953136265316,0
hybrid_skip_DOL_gt3R,4570,464,22,5056,64.92341356673961,0.8616500214420993,-0.03606182767117906,-164.8025524572883,184.52552912199232,0.3459379395898189,-0.8158906980960827,1,6,-0.047223639848620096,-0.04129734361022947,-0.05092241791347106,-0.03175930360180887,-0.040101490702793924,0.009782591049204785,-0.0006452059200628935,100.0,0.4980947071664901,68.6433260393873,14.87964989059081,11.422319474835886,5.010940919037199,0.0437636761487965,0.0,75.27352297592998,93.06345733041576,4.463894967177243,24.551422319474835,0
