scope,feature,stamp,label,bin,is_hit,is_n,oos_hit,oos_n,monotone
single,open_to_now_ret_atr,1100,L1_next30m_dir,Q5,0.5223463687150838,358,0.5532994923857868,197,False
single,open_to_now_ret_atr,1100,L2_next60m_dir,Q1,0.5406162464985994,357,0.4222222222222222,180,False
single,open_to_now_ret_atr,1100,L2_next60m_dir,Q2,0.5558659217877095,358,0.592814371257485,167,False
single,open_to_now_ret_atr,1100,L2_next60m_dir,Q3,0.5521126760563381,355,0.5222929936305732,157,False
single,open_to_now_ret_atr,1100,L2_next60m_dir,Q4,0.5518207282913166,357,0.5882352941176471,170,False
single,open_to_now_ret_atr,1100,L2_next60m_dir,Q5,0.5502793296089385,358,0.5177664974619289,197,False
single,open_to_now_ret_atr,1100,L3_race_1R,Q1,0.44541484716157204,229,0.45535714285714285,112,False
single,open_to_now_ret_atr,1100,L3_race_1R,Q2,0.5454545454545454,143,0.5875,80,False
single,open_to_now_ret_atr,1100,L3_race_1R,Q3,0.4461538461538462,130,0.4090909090909091,66,False
single,open_to_now_ret_atr,1100,L3_race_1R,Q4,0.4444444444444444,135,0.5645161290322581,62,False
single,open_to_now_ret_atr,1100,L3_race_1R,Q5,0.48502994011976047,167,0.45161290322580644,93,False
single,open_to_now_ret_atr,1300,L1_next30m_dir,Q1,0.5114285714285715,350,0.5102040816326531,196,False
single,open_to_now_ret_atr,1300,L1_next30m_dir,Q2,0.5114942528735632,348,0.5774647887323944,142,False
single,open_to_now_ret_atr,1300,L1_next30m_dir,Q3,0.49240121580547114,329,0.5769230769230769,156,False
single,open_to_now_ret_atr,1300,L1_next30m_dir,Q4,0.5057142857142857,350,0.4936708860759494,158,False
single,open_to_now_ret_atr,1300,L1_next30m_dir,Q5,0.4661016949152542,354,0.5638297872340425,188,False
single,open_to_now_ret_atr,1300,L2_next60m_dir,Q1,0.5057142857142857,350,0.5204081632653061,196,False
single,open_to_now_ret_atr,1300,L2_next60m_dir,Q2,0.5648414985590778,347,0.5704225352112676,142,False
single,open_to_now_ret_atr,1300,L2_next60m_dir,Q3,0.5075987841945289,329,0.532051282051282,156,False
single,open_to_now_ret_atr,1300,L2_next60m_dir,Q4,0.52,350,0.5379746835443038,158,False
single,open_to_now_ret_atr,1300,L2_next60m_dir,Q5,0.5649717514124294,354,0.5319148936170213,188,False
single,open_to_now_ret_atr,1300,L3_race_1R,Q1,0.46706586826347307,167,0.5057471264367817,87,False
single,open_to_now_ret_atr,1300,L3_race_1R,Q2,0.46153846153846156,104,0.48717948717948717,39,False
single,open_to_now_ret_atr,1300,L3_race_1R,Q3,0.3333333333333333,66,0.41025641025641024,39,False
single,open_to_now_ret_atr,1300,L3_race_1R,Q4,0.5,72,0.38461538461538464,39,False
single,open_to_now_ret_atr,1300,L3_race_1R,Q5,0.43617021276595747,94,0.45614035087719296,57,False
single,vwap_dist_atr,0945,L1_next30m_dir,Q1,0.47075208913649025,359,0.5195530726256983,179,False
single,vwap_dist_atr,0945,L1_next30m_dir,Q2,0.5083798882681564,358,0.5737704918032787,183,False
single,vwap_dist_atr,0945,L1_next30m_dir,Q3,0.5251396648044693,358,0.5527950310559007,161,False
single,vwap_dist_atr,0945,L1_next30m_dir,Q4,0.505586592178771,358,0.4880382775119617,209,False
single,vwap_dist_atr,0945,L1_next30m_dir,Q5,0.5558659217877095,358,0.5106382978723404,141,False
single,vwap_dist_atr,0945,L2_next60m_dir,Q1,0.4986072423398329,359,0.44692737430167595,179,False
single,vwap_dist_atr,0945,L2_next60m_dir,Q2,0.5391061452513967,358,0.5519125683060109,183,False
single,vwap_dist_atr,0945,L2_next60m_dir,Q3,0.5837988826815642,358,0.5838509316770186,161,False
single,vwap_dist_atr,0945,L2_next60m_dir,Q4,0.5195530726256983,358,0.5645933014354066,209,False
single,vwap_dist_atr,0945,L2_next60m_dir,Q5,0.5698324022346368,358,0.5531914893617021,141,False
single,vwap_dist_atr,0945,L3_race_1R,Q1,0.4523809523809524,252,0.4461538461538462,130,False
single,vwap_dist_atr,0945,L3_race_1R,Q2,0.4895833333333333,192,0.5377358490566038,106,False
single,vwap_dist_atr,0945,L3_race_1R,Q3,0.5348837209302325,172,0.5194805194805194,77,False
single,vwap_dist_atr,0945,L3_race_1R,Q4,0.48205128205128206,195,0.4444444444444444,126,False
single,vwap_dist_atr,0945,L3_race_1R,Q5,0.5081967213114754,244,0.5384615384615384,104,False
single,vwap_dist_atr,1000,L1_next30m_dir,Q1,0.49303621169916434,359,0.5428571428571428,175,False
single,vwap_dist_atr,1000,L1_next30m_dir,Q2,0.5642458100558659,358,0.5033112582781457,151,False
single,vwap_dist_atr,1000,L1_next30m_dir,Q3,0.5223463687150838,358,0.4897959183673469,196,False
single,vwap_dist_atr,1000,L1_next30m_dir,Q4,0.5027932960893855,358,0.5483870967741935,186,False
single,vwap_dist_atr,1000,L1_next30m_dir,Q5,0.5558659217877095,358,0.6,165,False
single,vwap_dist_atr,1000,L2_next60m_dir,Q1,0.532033426183844,359,0.48,175,False
single,vwap_dist_atr,1000,L2_next60m_dir,Q2,0.5363128491620112,358,0.5562913907284768,151,False
single,vwap_dist_atr,1000,L2_next60m_dir,Q3,0.5335195530726257,358,0.5306122448979592,196,False
single,vwap_dist_atr,1000,L2_next60m_dir,Q4,0.5027932960893855,358,0.521505376344086,186,False
single,vwap_dist_atr,1000,L2_next60m_dir,Q5,0.5810055865921788,358,0.5878787878787879,165,False
single,vwap_dist_atr,1000,L3_race_1R,Q1,0.47808764940239046,251,0.45901639344262296,122,False
single,vwap_dist_atr,1000,L3_race_1R,Q2,0.47619047619047616,189,0.5,86,False
single,vwap_dist_atr,1000,L3_race_1R,Q3,0.4451219512195122,164,0.5192307692307693,104,False
single,vwap_dist_atr,1000,L3_race_1R,Q4,0.4583333333333333,168,0.4845360824742268,97,False
single,vwap_dist_atr,1000,L3_race_1R,Q5,0.5133928571428571,224,0.5398230088495575,113,False
single,vwap_dist_atr,1030,L1_next30m_dir,Q1,0.48467966573816157,359,0.43783783783783786,185,False
single,vwap_dist_atr,1030,L1_next30m_dir,Q2,0.5279329608938548,358,0.4823529411764706,170,False
single,vwap_dist_atr,1030,L1_next30m_dir,Q3,0.5670391061452514,358,0.5197368421052632,152,False
single,vwap_dist_atr,1030,L1_next30m_dir,Q4,0.5502793296089385,358,0.5733333333333334,150,False
single,vwap_dist_atr,1030,L1_next30m_dir,Q5,0.49162011173184356,358,0.5370370370370371,216,False
single,vwap_dist_atr,1030,L2_next60m_dir,Q1,0.5266106442577031,357,0.45652173913043476,184,False
single,vwap_dist_atr,1030,L2_next60m_dir,Q2,0.5502793296089385,358,0.47337278106508873,169,False
single,vwap_dist_atr,1030,L2_next60m_dir,Q3,0.5561797752808989,356,0.5921052631578947,152,False
single,vwap_dist_atr,1030,L2_next60m_dir,Q4,0.5630252100840336,357,0.5733333333333334,150,False
