level,side,event_type,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,222,0.41,0.3514,0.6923,-0.2395,-53.168,-62.402,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,1.5R,none,1054,1.945,0.3861,0.5373,-0.376,-396.302,-397.412,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,1.5R,ny_am_only,750,1.384,0.3947,0.5762,-0.3361,-252.04,-253.151,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,223,0.411,0.417,0.7208,-0.1934,-43.119,-44.97,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,2R,none,1054,1.945,0.3302,0.5752,-0.3767,-397.083,-398.693,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,2R,ny_am_only,750,1.384,0.3373,0.6206,-0.3292,-246.868,-248.627,0,dead
pdh,upper,first_touch_rejection,next_bar_open,beyond_extreme_2tk,2R,vwap_slope_agreement,223,0.411,0.3722,0.8002,-0.1482,-33.038,-35.494,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,vwap,none,494,0.911,0.3462,0.5298,-0.3571,-176.422,-175.292,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,vwap,ny_am_only,292,0.539,0.4212,0.6228,-0.214,-62.486,-65.562,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,vwap,vwap_slope_agreement,6,0.011,1.0,inf,0.5875,3.525,0.0,0,insufficient_n
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,prior_day_mid,none,1050,1.937,0.3,0.7195,-0.25,-262.498,-263.536,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,prior_day_mid,ny_am_only,746,1.376,0.319,0.7666,-0.1973,-147.154,-154.293,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,prior_day_mid,vwap_slope_agreement,222,0.41,0.2793,0.5873,-0.3867,-85.836,-84.599,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,1.5R,none,1054,1.945,0.408,0.641,-0.2694,-283.923,-282.727,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,1.5R,ny_am_only,750,1.384,0.416,0.6988,-0.219,-164.224,-167.483,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,1.5R,vwap_slope_agreement,223,0.411,0.435,0.6912,-0.2233,-49.792,-52.17,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,2R,none,1054,1.945,0.3482,0.69,-0.2566,-270.453,-269.756,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,2R,ny_am_only,750,1.384,0.3467,0.7267,-0.221,-165.762,-169.12,0,dead
pdh,upper,first_touch_rejection,next_bar_open,1.0xATR,2R,vwap_slope_agreement,223,0.411,0.3767,0.752,-0.2025,-45.155,-53.672,0,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,vwap,none,527,0.972,0.2638,0.501,-0.6015,-317.011,-338.103,187,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,vwap,ny_am_only,352,0.649,0.3153,0.6517,-0.3611,-127.098,-159.828,124,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,vwap,vwap_slope_agreement,5,0.009,0.8,5.6942,1.9323,9.662,0.0,39,sub_floor
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,prior_day_mid,none,879,1.622,0.1786,0.6052,-0.5311,-466.855,-468.896,187,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,prior_day_mid,ny_am_only,626,1.155,0.1837,0.6971,-0.399,-249.791,-252.336,124,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,185,0.341,0.2486,0.702,-0.3134,-57.984,-71.674,39,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,1.5R,none,879,1.622,0.4391,0.5188,-0.3799,-333.971,-342.272,187,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,1.5R,ny_am_only,626,1.155,0.4617,0.5951,-0.2964,-185.567,-199.908,124,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,1.5R,vwap_slope_agreement,185,0.341,0.4811,0.7458,-0.171,-31.643,-36.608,39,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,2R,none,879,1.622,0.405,0.5804,-0.3841,-337.6,-349.4,187,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,2R,ny_am_only,626,1.155,0.4233,0.6568,-0.2964,-185.533,-212.874,124,dead
pdh,upper,first_touch_rejection,retest_limit,beyond_extreme_2tk,2R,vwap_slope_agreement,185,0.341,0.427,0.8248,-0.1346,-24.897,-30.528,39,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,vwap,none,527,0.972,0.3814,0.5295,-0.3127,-164.799,-166.135,187,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,vwap,ny_am_only,352,0.649,0.4659,0.7331,-0.1256,-44.197,-50.839,124,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,vwap,vwap_slope_agreement,5,0.009,1.0,inf,0.8293,4.146,0.0,39,insufficient_n
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,prior_day_mid,none,879,1.622,0.2651,0.6867,-0.2923,-256.944,-275.733,187,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,prior_day_mid,ny_am_only,626,1.155,0.2843,0.7732,-0.2013,-126.006,-149.736,124,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,185,0.341,0.2811,0.7036,-0.2818,-52.132,-67.304,39,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,1.5R,none,879,1.622,0.4027,0.6377,-0.273,-239.953,-244.444,187,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,1.5R,ny_am_only,626,1.155,0.4169,0.7083,-0.2108,-131.985,-143.585,124,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,185,0.341,0.4649,0.7726,-0.1564,-28.94,-47.318,39,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,2R,none,879,1.622,0.3413,0.6796,-0.2681,-235.68,-242.047,187,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,2R,ny_am_only,626,1.155,0.3482,0.7375,-0.2123,-132.894,-143.494,124,dead
pdh,upper,first_touch_rejection,retest_limit,1.0xATR,2R,vwap_slope_agreement,185,0.341,0.4162,0.8777,-0.0937,-17.34,-37.072,39,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,vwap,none,1453,2.681,0.318,0.4671,-0.4216,-612.531,-612.161,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,vwap,ny_am_only,531,0.98,0.3051,0.3469,-0.4855,-257.794,-258.844,0,dead
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,94,0.173,0.3404,0.2752,-0.4414,-41.493,-43.719,0,sub_floor
pdh,upper,sweep_and_close_back_inside,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,3187,5.88,0.2564,0.6287,-0.3602,-1147.941,-1146.551,0,dead
