model,confirm,entry,filter,bucket,stop,exit,n,tr_wk,wr,pf,expR,totR,maxDD_R,flag,mirage
fill,conf15,next_open,none,>1.25,open_buffer,prior_close,34,0.063,0.1765,0.4389,-0.4377,-14.88,-13.839,sub_floor,True
fill,conf15,next_open,none,>1.25,open_buffer,half_gap,34,0.063,0.2059,0.3425,-0.5033,-17.111,-16.069,sub_floor,True
fill,conf15,next_open,none,>1.25,open_buffer,1.5R,34,0.063,0.2059,0.3517,-0.4995,-16.981,-16.024,sub_floor,False
fill,conf15,next_open,none,>1.25,open_buffer,2R,34,0.063,0.2059,0.4447,-0.4278,-14.545,-14.024,sub_floor,False
fill,conf15,next_open,none,>1.25,atr1.0,prior_close,34,0.063,0.3235,0.4938,-0.2226,-7.568,-6.704,sub_floor,False
fill,conf15,next_open,none,>1.25,atr1.0,half_gap,34,0.063,0.3824,0.4386,-0.2414,-8.207,-7.152,sub_floor,True
fill,conf15,next_open,none,>1.25,atr1.0,1.5R,34,0.063,0.3235,0.5338,-0.205,-6.97,-6.106,sub_floor,False
fill,conf15,next_open,none,>1.25,atr1.0,2R,34,0.063,0.3235,0.5444,-0.2003,-6.812,-5.948,sub_floor,False
fill,conf15,next_open,none,>1.25,atr1.5,prior_close,34,0.063,0.3529,0.5372,-0.1357,-4.614,-3.578,sub_floor,False
fill,conf15,next_open,none,>1.25,atr1.5,half_gap,34,0.063,0.4118,0.4719,-0.1514,-5.149,-4.112,sub_floor,False
fill,conf15,next_open,none,>1.25,atr1.5,1.5R,34,0.063,0.3529,0.5878,-0.1209,-4.11,-3.074,sub_floor,False
fill,conf15,next_open,none,>1.25,atr1.5,2R,34,0.063,0.3529,0.5878,-0.1209,-4.11,-3.074,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.25-0.75,open_buffer,prior_close,281,0.518,0.4804,0.9074,-0.0469,-13.172,-34.339,dead,False
fill,conf15,next_open,on_range_pctile,0.25-0.75,open_buffer,half_gap,281,0.518,0.4733,0.6082,-0.132,-37.085,-37.305,dead,True
fill,conf15,next_open,on_range_pctile,0.25-0.75,open_buffer,1.5R,281,0.518,0.4377,0.9309,-0.0396,-11.14,-36.782,dead,False
fill,conf15,next_open,on_range_pctile,0.25-0.75,open_buffer,2R,281,0.518,0.4021,0.9474,-0.0319,-8.96,-36.153,dead,False
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.0,prior_close,281,0.518,0.5694,0.6827,-0.0605,-17.011,-18.594,dead,True
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.0,half_gap,281,0.518,0.548,0.4555,-0.0649,-18.245,-18.624,dead,True
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.0,1.5R,281,0.518,0.4698,0.7769,-0.0516,-14.513,-16.237,dead,False
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.0,2R,281,0.518,0.4698,0.7547,-0.0568,-15.952,-17.676,dead,False
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.5,prior_close,281,0.518,0.5694,0.6919,-0.0387,-10.866,-12.041,dead,True
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.5,half_gap,281,0.518,0.548,0.4482,-0.0446,-12.525,-12.777,dead,True
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.5,1.5R,281,0.518,0.4698,0.7677,-0.0352,-9.904,-11.291,dead,False
fill,conf15,next_open,on_range_pctile,0.25-0.75,atr1.5,2R,281,0.518,0.4698,0.7677,-0.0352,-9.904,-11.291,dead,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,open_buffer,prior_close,21,0.039,0.4286,0.8025,-0.1235,-2.594,-6.084,sub_floor,False
fill,conf15,next_open,on_range_pctile,0.75-1.25,open_buffer,half_gap,21,0.039,0.619,1.3383,0.1473,3.092,-3.272,sub_floor,False
