cell,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_long,n_short,slip_0.015R_pf,slip_0.03R_pf,labels,per_year_pf,per_year_n,window,morning_state,entry,exit,kill_gate_verdict
WA_1200_1400|MS2_price_vs_vwap_open|E2_pullback_vwap|ST_atr1.5|X2_R2,1552,2.866,34.3,0.679,-0.2637,-409.228,412.959,783,769,0.665,0.651,-,"{2016: 0.453, 2017: 0.321, 2018: 0.654, 2019: 0.607, 2020: 0.793, 2021: 0.858, 2022: 0.921, 2023: 0.841, 2024: 0.806, 2025: 0.752, 2026: 0.835}","{2016: 154, 2017: 144, 2018: 140, 2019: 155, 2020: 157, 2021: 142, 2022: 162, 2023: 146, 2024: 149, 2025: 146, 2026: 57}",WA_1200_1400,MS2_price_vs_vwap_open,E2_pullback_vwap,X2_R2,DEAD
WA_1200_1400|MS2_price_vs_vwap_open|E2_pullback_vwap|ST_atr1.5|X3_flatten1545,1552,2.866,28.5,0.753,-0.2166,-336.227,349.103,783,769,0.74,0.726,-,"{2016: 0.555, 2017: 0.352, 2018: 0.87, 2019: 0.7, 2020: 0.881, 2021: 0.638, 2022: 1.144, 2023: 0.975, 2024: 0.713, 2025: 0.894, 2026: 0.939}","{2016: 154, 2017: 144, 2018: 140, 2019: 155, 2020: 157, 2021: 142, 2022: 162, 2023: 146, 2024: 149, 2025: 146, 2026: 57}",WA_1200_1400,MS2_price_vs_vwap_open,E2_pullback_vwap,X3_flatten1545,DEAD
WB_1300_1500|MS1_trend_2h|E1_break_morning_hl|ST_atr1.5|X1_R1.5,257,0.479,42.0,0.697,-0.2182,-56.084,60.585,129,128,0.68,0.663,-,"{2016: 0.753, 2017: 0.319, 2018: 0.556, 2019: 0.341, 2020: 1.506, 2021: 0.613, 2022: 1.017, 2023: 0.638, 2024: 0.95, 2025: 0.863, 2026: 0.867}","{2016: 25, 2017: 21, 2018: 28, 2019: 22, 2020: 20, 2021: 28, 2022: 27, 2023: 22, 2024: 23, 2025: 29, 2026: 12}",WB_1300_1500,MS1_trend_2h,E1_break_morning_hl,X1_R1.5,DEAD
WB_1300_1500|MS1_trend_2h|E1_break_morning_hl|ST_atr1.5|X2_R2,257,0.479,37.0,0.774,-0.1756,-45.123,58.743,129,128,0.758,0.742,-,"{2016: 0.615, 2017: 0.414, 2018: 0.424, 2019: 0.454, 2020: 1.356, 2021: 0.645, 2022: 1.163, 2023: 0.883, 2024: 1.303, 2025: 1.027, 2026: 1.183}","{2016: 25, 2017: 21, 2018: 28, 2019: 22, 2020: 20, 2021: 28, 2022: 27, 2023: 22, 2024: 23, 2025: 29, 2026: 12}",WB_1300_1500,MS1_trend_2h,E1_break_morning_hl,X2_R2,DEAD
WB_1300_1500|MS1_trend_2h|E1_break_morning_hl|ST_atr1.5|X3_flatten1545,257,0.479,32.3,0.865,-0.1087,-27.946,67.56,129,128,0.848,0.832,-,"{2016: 0.561, 2017: 0.185, 2018: 0.535, 2019: 0.498, 2020: 1.108, 2021: 0.57, 2022: 1.631, 2023: 1.261, 2024: 1.747, 2025: 1.871, 2026: 0.463}","{2016: 25, 2017: 21, 2018: 28, 2019: 22, 2020: 20, 2021: 28, 2022: 27, 2023: 22, 2024: 23, 2025: 29, 2026: 12}",WB_1300_1500,MS1_trend_2h,E1_break_morning_hl,X3_flatten1545,DEAD
WB_1300_1500|MS1_trend_2h|E2_pullback_vwap|ST_atr1.5|X1_R1.5,215,0.401,44.2,0.826,-0.1153,-24.789,29.161,81,134,0.806,0.787,-,"{2016: 0.554, 2017: 0.687, 2018: 1.182, 2019: 1.293, 2020: 0.439, 2021: 0.86, 2022: 1.228, 2023: 1.0, 2024: 0.793, 2025: 0.529, 2026: 1.019}","{2016: 20, 2017: 23, 2018: 22, 2019: 20, 2020: 19, 2021: 25, 2022: 18, 2023: 20, 2024: 21, 2025: 18, 2026: 9}",WB_1300_1500,MS1_trend_2h,E2_pullback_vwap,X1_R1.5,DEAD
WB_1300_1500|MS1_trend_2h|E2_pullback_vwap|ST_atr1.5|X2_R2,215,0.401,37.7,0.844,-0.1127,-24.229,28.312,81,134,0.826,0.808,-,"{2016: 0.641, 2017: 0.695, 2018: 1.119, 2019: 0.832, 2020: 0.603, 2021: 1.032, 2022: 1.635, 2023: 0.985, 2024: 0.625, 2025: 0.422, 2026: 1.384}","{2016: 20, 2017: 23, 2018: 22, 2019: 20, 2020: 19, 2021: 25, 2022: 18, 2023: 20, 2024: 21, 2025: 18, 2026: 9}",WB_1300_1500,MS1_trend_2h,E2_pullback_vwap,X2_R2,DEAD
WB_1300_1500|MS1_trend_2h|E2_pullback_vwap|ST_atr1.5|X3_flatten1545,215,0.401,34.0,0.871,-0.0968,-20.816,31.173,81,134,0.853,0.836,-,"{2016: 0.434, 2017: 0.565, 2018: 1.206, 2019: 0.747, 2020: 0.465, 2021: 1.677, 2022: 1.967, 2023: 0.927, 2024: 0.675, 2025: 0.461, 2026: 0.906}","{2016: 20, 2017: 23, 2018: 22, 2019: 20, 2020: 19, 2021: 25, 2022: 18, 2023: 20, 2024: 21, 2025: 18, 2026: 9}",WB_1300_1500,MS1_trend_2h,E2_pullback_vwap,X3_flatten1545,DEAD
WB_1300_1500|MS2_price_vs_vwap_open|E1_break_morning_hl|ST_atr1.5|X1_R1.5,1484,2.743,40.0,0.619,-0.293,-434.814,443.725,878,606,0.605,0.59,-,"{2016: 0.518, 2017: 0.264, 2018: 0.578, 2019: 0.321, 2020: 0.913, 2021: 0.681, 2022: 1.193, 2023: 0.724, 2024: 0.593, 2025: 0.665, 2026: 0.802}","{2016: 140, 2017: 123, 2018: 154, 2019: 125, 2020: 146, 2021: 132, 2022: 150, 2023: 147, 2024: 157, 2025: 153, 2026: 57}",WB_1300_1500,MS2_price_vs_vwap_open,E1_break_morning_hl,X1_R1.5,DEAD
WB_1300_1500|MS2_price_vs_vwap_open|E1_break_morning_hl|ST_atr1.5|X2_R2,1484,2.743,35.3,0.688,-0.2587,-383.942,396.29,878,606,0.674,0.66,-,"{2016: 0.529, 2017: 0.339, 2018: 0.598, 2019: 0.386, 2020: 0.965, 2021: 0.74, 2022: 1.234, 2023: 0.903, 2024: 0.703, 2025: 0.732, 2026: 0.897}","{2016: 140, 2017: 123, 2018: 154, 2019: 125, 2020: 146, 2021: 132, 2022: 150, 2023: 147, 2024: 157, 2025: 153, 2026: 57}",WB_1300_1500,MS2_price_vs_vwap_open,E1_break_morning_hl,X2_R2,DEAD
WB_1300_1500|MS2_price_vs_vwap_open|E1_break_morning_hl|ST_atr1.5|X3_flatten1545,1484,2.743,29.8,0.708,-0.2539,-376.716,393.348,878,606,0.695,0.681,-,"{2016: 0.439, 2017: 0.297, 2018: 0.67, 2019: 0.387, 2020: 1.102, 2021: 0.595, 2022: 1.441, 2023: 0.974, 2024: 0.752, 2025: 0.71, 2026: 1.015}","{2016: 140, 2017: 123, 2018: 154, 2019: 125, 2020: 146, 2021: 132, 2022: 150, 2023: 147, 2024: 157, 2025: 153, 2026: 57}",WB_1300_1500,MS2_price_vs_vwap_open,E1_break_morning_hl,X3_flatten1545,DEAD
WB_1300_1500|MS2_price_vs_vwap_open|E2_pullback_vwap|ST_atr1.5|X1_R1.5,1461,2.698,40.5,0.629,-0.2812,-410.79,420.977,729,732,0.614,0.599,-,"{2016: 0.465, 2017: 0.361, 2018: 0.825, 2019: 0.51, 2020: 0.828, 2021: 0.599, 2022: 0.737, 2023: 0.765, 2024: 0.617, 2025: 0.674, 2026: 0.938}","{2016: 154, 2017: 143, 2018: 141, 2019: 139, 2020: 147, 2021: 132, 2022: 139, 2023: 147, 2024: 140, 2025: 121, 2026: 58}",WB_1300_1500,MS2_price_vs_vwap_open,E2_pullback_vwap,X1_R1.5,DEAD
WB_1300_1500|MS2_price_vs_vwap_open|E2_pullback_vwap|ST_atr1.5|X2_R2,1461,2.698,35.0,0.671,-0.271,-395.876,405.852,729,732,0.657,0.643,-,"{2016: 0.532, 2017: 0.406, 2018: 0.867, 2019: 0.507, 2020: 0.907, 2021: 0.652, 2022: 0.803, 2023: 0.864, 2024: 0.681, 2025: 0.641, 2026: 0.828}","{2016: 154, 2017: 143, 2018: 141, 2019: 139, 2020: 147, 2021: 132, 2022: 139, 2023: 147, 2024: 140, 2025: 121, 2026: 58}",WB_1300_1500,MS2_price_vs_vwap_open,E2_pullback_vwap,X2_R2,DEAD
