stage,or_def,breakout,entry,stop,exit,filt,n_events,n_retest_missed,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
A-coarse,30m,close_outside,immediate,opposite_or_side,1.5R,none,2618,0,2601,4.802690582959642,0.4429065743944637,0.8713282807366179,-0.0627364648561485,-163.17754509084224,-195.85508327918444,1414,1187
A-coarse,30m,close_outside,immediate,inside_range_0.5atr,1.5R,none,2618,0,2601,4.802690582959642,0.4655901576316801,0.9086273916069079,-0.03459393736596337,-89.97883108887072,-121.33330354374309,1414,1187
A-coarse,30m,close_outside,immediate,atr_1.5,1.5R,none,2618,0,2601,4.802690582959642,0.4828911956939639,0.9211094845679466,-0.01072610898895754,-27.898609480278562,-54.217815719460134,1414,1187
A-coarse,30m,close_outside,retest,opposite_or_side,1.5R,none,2618,533,2071,3.82405697705091,0.4384355383872525,0.8609001307297415,-0.07306508282810731,-151.31778653701025,-158.2019704714767,1096,975
A-coarse,30m,close_outside,retest,inside_range_0.5atr,1.5R,none,2618,533,2071,3.82405697705091,0.46306132303235154,0.8920951458721696,-0.04061186758025298,-84.10717775870393,-101.95486889196175,1096,975
A-coarse,30m,close_outside,retest,atr_1.5,1.5R,none,2618,533,2071,3.82405697705091,0.484789956542733,0.9642078938076848,-0.004667162629463226,-9.665693805618341,-38.55504297386721,1096,975
A-coarse,30m,two_closes_outside,immediate,opposite_or_side,1.5R,none,2592,0,2576,4.756528620416777,0.4518633540372671,0.8791616410681529,-0.05421598115272363,-139.66036744941607,-168.65762528287613,1427,1149
A-coarse,30m,two_closes_outside,immediate,inside_range_0.5atr,1.5R,none,2592,0,2576,4.756528620416777,0.46467391304347827,0.8929821081252609,-0.039532757137783564,-101.83638238693045,-134.50143470592943,1427,1149
A-coarse,30m,two_closes_outside,immediate,atr_1.5,1.5R,none,2592,0,2576,4.756528620416777,0.4798136645962733,0.8871739020818462,-0.01515131836568521,-39.0297961100051,-58.77441978187254,1427,1149
A-coarse,30m,two_closes_outside,retest,opposite_or_side,1.5R,none,2592,848,1730,3.194407807966236,0.4208092485549133,0.7957246052708153,-0.10740082779654946,-185.80343208803055,-197.32013637490735,939,791
A-coarse,30m,two_closes_outside,retest,inside_range_0.5atr,1.5R,none,2592,848,1730,3.194407807966236,0.44739884393063584,0.8319352514120923,-0.06257981373382547,-108.26307775951807,-117.538752441881,939,791
A-coarse,30m,two_closes_outside,retest,atr_1.5,1.5R,none,2592,848,1730,3.194407807966236,0.46936416184971097,0.9047726194727179,-0.012287984149571725,-21.258212578759085,-37.20197362944336,939,791
A-coarse,30m,body_ratio,immediate,opposite_or_side,1.5R,none,2604,0,2587,4.776839883935637,0.45187475840742175,0.8865138818526235,-0.05197171008559901,-134.45081399144465,-167.2248476852005,1411,1176
A-coarse,30m,body_ratio,immediate,inside_range_0.5atr,1.5R,none,2604,0,2587,4.776839883935637,0.4669501352918438,0.9102652710072652,-0.03313727887512269,-85.72614044994239,-123.28165780306344,1411,1176
A-coarse,30m,body_ratio,immediate,atr_1.5,1.5R,none,2604,0,2587,4.776839883935637,0.4812524159257828,0.8980274954979041,-0.01365519778577495,-35.32599667179979,-53.994988070548,1411,1176
A-coarse,30m,body_ratio,retest,opposite_or_side,1.5R,none,2604,741,1849,3.414138749670272,0.43591130340724715,0.847510846148042,-0.07877187220014994,-145.64919169807726,-156.882417778459,967,882
A-coarse,30m,body_ratio,retest,inside_range_0.5atr,1.5R,none,2604,741,1849,3.414138749670272,0.4564629529475392,0.864377879293518,-0.05038832607388327,-93.16801491061017,-102.1159276885398,967,882
A-coarse,30m,body_ratio,retest,atr_1.5,1.5R,none,2604,741,1849,3.414138749670272,0.4775554353704705,0.9259273848790154,-0.009562659570443144,-17.68135754574937,-36.93840344629811,967,882
