compression_def,breakout,entry,stop,exit,n_events,flags,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
atr14_contraction_pctile<30,second_break,retest,atr_1.0,trail_3.5xATR,505,,406,0.7496702716961224,0.3842364532019704,0.8551360297717814,-0.020532747153427625,-8.336295344291615,-11.407375337176985,218,188
prior_day_range_pctile<30,first_break_continuation,immediate,opposite_compression_side,range_projection_1.0x,780,,780,1.4402532313373781,0.55,0.777978369117678,-0.10311712771895346,-80.4313596207837,-114.73011872708886,403,377
prior_day_range_pctile<30,first_break_continuation,immediate,opposite_compression_side,1.5R,780,,780,1.4402532313373781,0.44871794871794873,0.8928397316039327,-0.06034610724078344,-47.06996364781108,-97.97223411864297,403,377
prior_day_range_pctile<30,first_break_continuation,immediate,opposite_compression_side,trail_3.5xATR,780,,780,1.4402532313373781,0.3974358974358974,0.9127660618875562,-0.04279697859556449,-33.381643304540304,-86.31451014867093,403,377
prior_day_range_pctile<30,first_break_continuation,immediate,atr_1.0,range_projection_1.0x,780,,780,1.4402532313373781,0.6487179487179487,0.7752094609598088,-0.032500981838757964,-25.35076583423121,-32.50264526283227,403,377
prior_day_range_pctile<30,first_break_continuation,immediate,atr_1.0,1.5R,780,,780,1.4402532313373781,0.4935897435897436,0.9106088482044654,-0.017060395139704726,-13.307108208969687,-26.066374895694707,403,377
prior_day_range_pctile<30,first_break_continuation,immediate,atr_1.0,trail_3.5xATR,780,,780,1.4402532313373781,0.4230769230769231,0.9202769754043539,-0.010858955128020584,-8.469984999856056,-21.31129506023022,403,377
prior_day_range_pctile<30,first_break_continuation,retest,opposite_compression_side,range_projection_1.0x,780,,609,1.1245054075441836,0.49917898193760263,0.7215378967454685,-0.15415151264973487,-93.87827120368854,-111.0799980188646,314,295
prior_day_range_pctile<30,first_break_continuation,retest,opposite_compression_side,1.5R,780,,609,1.1245054075441836,0.42857142857142855,0.7900528196501141,-0.1312038166712329,-79.90312435278084,-115.80495409265124,314,295
prior_day_range_pctile<30,first_break_continuation,retest,opposite_compression_side,trail_3.5xATR,780,,609,1.1245054075441836,0.3694581280788177,0.8836843833507927,-0.06716920132447904,-40.90604360660773,-96.01057033186963,314,295
prior_day_range_pctile<30,first_break_continuation,retest,atr_1.0,range_projection_1.0x,780,,609,1.1245054075441836,0.6469622331691297,0.7494699317302066,-0.036560190969877816,-22.26515630065559,-25.754772149778674,314,295
prior_day_range_pctile<30,first_break_continuation,retest,atr_1.0,1.5R,780,,609,1.1245054075441836,0.49917898193760263,0.8555451902196846,-0.027566164569381373,-16.787794222753256,-25.941412584218764,314,295
prior_day_range_pctile<30,first_break_continuation,retest,atr_1.0,trail_3.5xATR,780,,609,1.1245054075441836,0.4154351395730706,0.8714007304044048,-0.017208702151051886,-10.480099609990598,-19.75704255787932,314,295
prior_day_range_pctile<30,break_retest,immediate,opposite_compression_side,range_projection_1.0x,609,,609,1.1245054075441836,0.4696223316912972,0.570185591033224,-0.24060099724630718,-146.52600732300107,-151.83056424073197,314,295
prior_day_range_pctile<30,break_retest,immediate,opposite_compression_side,1.5R,609,,609,1.1245054075441836,0.38095238095238093,0.6395090041465692,-0.2332918842889635,-142.07475753197878,-151.75781076856723,314,295
prior_day_range_pctile<30,break_retest,immediate,opposite_compression_side,trail_3.5xATR,609,,609,1.1245054075441836,0.32676518883415434,0.6500618082452215,-0.20309989070265488,-123.68783343791682,-131.37932205974653,314,295
prior_day_range_pctile<30,break_retest,immediate,atr_1.0,range_projection_1.0x,609,,609,1.1245054075441836,0.5944170771756979,0.5621254794727614,-0.07591814219957063,-46.234148599538514,-47.55406792477003,314,295
prior_day_range_pctile<30,break_retest,immediate,atr_1.0,1.5R,609,,609,1.1245054075441836,0.458128078817734,0.6691458375088478,-0.07148414100754188,-43.533841873593005,-43.585603418655616,314,295
prior_day_range_pctile<30,break_retest,immediate,atr_1.0,trail_3.5xATR,609,,609,1.1245054075441836,0.35960591133004927,0.6242191658858134,-0.05978084440361988,-36.40653424180451,-38.031731763119154,314,295
prior_day_range_pctile<30,break_retest,retest,opposite_compression_side,range_projection_1.0x,609,,609,1.1245054075441836,0.49917898193760263,0.7215378967454685,-0.15415151264973487,-93.87827120368854,-111.0799980188646,314,295
prior_day_range_pctile<30,break_retest,retest,opposite_compression_side,1.5R,609,,609,1.1245054075441836,0.42857142857142855,0.7900528196501141,-0.1312038166712329,-79.90312435278084,-115.80495409265124,314,295
prior_day_range_pctile<30,break_retest,retest,opposite_compression_side,trail_3.5xATR,609,,609,1.1245054075441836,0.3694581280788177,0.8836843833507927,-0.06716920132447904,-40.90604360660773,-96.01057033186963,314,295
