failure_def,timing,entry,stop,exit,filt,n_events_raw,n_no_fill,flags,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short
ONH_ONL_break_reclaim,le10bars,failed_level_retest,atr_1.0,1.5R,flat_vwap_slope_only,6495,1311,,1037,1.9147982062780269,0.46383799421407906,0.8071822793353919,-0.03021299995761413,-31.330880956045853,-33.919815311682015,489,548
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,none,1606,0,,1604,2.9617515167501978,0.07231920199501247,0.050597191408577644,-1.6667789007997085,-2673.5133568827323,-2672.0795174033365,768,836
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,1606,0,,253,0.46715906093379056,0.05138339920948617,0.016359190688246344,-1.8246245570803195,-461.63001294132084,-460.1961734619282,130,123
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,none,1606,0,,1602,2.958058559746769,0.09925093632958802,0.08763051796734832,-1.7374506878509408,-2783.396001937207,-2781.962162457809,766,836
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,1606,0,,252,0.46531258243207596,0.05555555555555555,0.019168872705596373,-1.902072188847928,-479.32219158967786,-477.88835211028527,129,123
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,none,1606,0,,1571,2.9008177261936163,0.35136855506047104,0.31406023483086337,-0.7478082316107991,-1174.8067318605654,-1173.4305882820358,752,819
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,1606,0,,251,0.4634661039303614,0.36254980079681276,0.24818974325116286,-0.8355561971115336,-209.72460547499495,-209.74224350542815,129,122
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,vwap_target,none,1606,0,,1585,2.926668425217621,0.13186119873817034,0.0645641407070939,-0.10317690474228361,-163.53539401651952,-163.53655318002396,759,826
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,vwap_target,flat_vwap_slope_only,1606,0,,253,0.46715906093379056,0.06719367588932806,0.010994695613101698,-0.10930469736554425,-27.654088433482695,-27.651890224013535,131,122
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,or_midpoint,none,1606,0,,1570,2.898971247691902,0.19872611464968154,0.1234012351694006,-0.1112571235604079,-174.6736839898404,-174.7768208731135,751,819
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,or_midpoint,flat_vwap_slope_only,1606,0,,252,0.46531258243207596,0.09126984126984126,0.02160628508148573,-0.11449278386590218,-28.85218153420735,-28.8602378826099,130,122
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,1.5R,none,1606,0,,1137,2.099446056449486,0.47845206684256814,0.8999336770353576,-0.021889655091508486,-24.88853783904515,-30.389832290284925,535,602
ONH_ONL_break_reclaim,before_1030,next_bar_open_after_reclaim,atr_1.0,1.5R,flat_vwap_slope_only,1606,0,,234,0.4320759694012134,0.4700854700854701,0.7930886433356199,-0.03960432175986938,-9.267411291809434,-11.19349090147104,120,114
ONH_ONL_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,vwap_target,none,1606,317,,1283,2.3690319176998154,0.16289945440374123,0.2228121414241542,-2.8185254762595555,-3616.16818604101,-3627.3332928347645,619,664
ONH_ONL_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,1606,317,,238,0.43946188340807174,0.14705882352941177,0.16664591787059474,-2.4213630207628536,-576.2843989415592,-580.5089530459222,124,114
ONH_ONL_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,or_midpoint,none,1606,317,,1282,2.3671854391981006,0.12480499219968799,0.14159795021572352,-3.9771380655226527,-5098.691000000041,-5095.691000000041,619,663
ONH_ONL_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,1606,317,,238,0.43946188340807174,0.13445378151260504,0.14107588871958404,-2.756886554621901,-656.1390000000124,-658.512000000012,124,114
ONH_ONL_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,1.5R,none,1606,317,,1282,2.3671854391981006,0.0,0.0,-1.4223868954758196,-1823.500000000001,-1820.500000000001,619,663
ONH_ONL_break_reclaim,before_1030,failed_level_retest,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,1606,317,,238,0.43946188340807174,0.0,0.0,-1.3928571428571428,-331.5,-328.5,124,114
ONH_ONL_break_reclaim,before_1030,failed_level_retest,atr_1.0,vwap_target,none,1606,317,,1268,2.3413347401740965,0.3083596214511041,0.22829778692325173,-0.05708386051782003,-72.3823351365958,-72.69837657194324,611,657
ONH_ONL_break_reclaim,before_1030,failed_level_retest,atr_1.0,vwap_target,flat_vwap_slope_only,1606,317,,237,0.4376154049063572,0.2869198312236287,0.18551453649846464,-0.054430061706000704,-12.899924624322168,-13.07388075997456,124,113
ONH_ONL_break_reclaim,before_1030,failed_level_retest,atr_1.0,or_midpoint,none,1606,317,,1253,2.3136375626483776,0.30646448523543496,0.24871221523596654,-0.07374991311335856,-92.40864113103828,-92.70991241132108,607,646
ONH_ONL_break_reclaim,before_1030,failed_level_retest,atr_1.0,or_midpoint,flat_vwap_slope_only,1606,317,,237,0.4376154049063572,0.26582278481012656,0.18304851638979536,-0.06974478098026737,-16.529513092323366,-16.612185313306565,124,113
ONH_ONL_break_reclaim,before_1030,failed_level_retest,atr_1.0,1.5R,none,1606,317,,948,1.7504616196254288,0.4883966244725738,0.8896628249707494,-0.023577251728364203,-22.351234638489263,-27.053342307973764,452,496
ONH_ONL_break_reclaim,before_1030,failed_level_retest,atr_1.0,1.5R,flat_vwap_slope_only,1606,317,,212,0.3914534423634925,0.4481132075471698,0.7244743465873816,-0.05500134522890343,-11.660285188527528,-14.803666236703785,112,100
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,none,6946,104,,6777,12.513584806119757,0.12498155526043972,0.1077227622923776,-1.729212083467939,-11718.870289662222,-11717.210006876927,3343,3434
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,6946,104,,3391,6.261408599314166,0.11147154231790032,0.06464172313715363,-2.096006502012311,-7107.558048323746,-7105.897765538452,1619,1772
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,none,6946,104,,6745,12.45449749406489,0.15730170496664195,0.19530827696915098,-1.3871964577741112,-9356.64010768638,-9354.922232596642,3332,3413
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,6946,104,,3367,6.217093115273015,0.16453816453816453,0.15550854709122777,-1.6633423632830062,-5600.473737173882,-5598.755862084143,1608,1759
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,none,6946,104,,6662,12.30123977842258,0.3377364154908436,0.22356621034680435,-1.0480170327165703,-6981.889471957791,-6980.8176259030515,3287,3375
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,6946,104,,3340,6.167238195726721,0.33652694610778444,0.16996474490314273,-1.289231038684348,-4306.031669205722,-4304.9598231509835,1602,1738
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,vwap_target,none,6946,104,,5478,10.11500923239251,0.24497991967871485,0.18810597402253781,-0.08257681915464422,-452.355815329141,-452.34978998514475,2712,2766
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,vwap_target,flat_vwap_slope_only,6946,104,,2961,5.467422843576893,0.1884498480243161,0.10203740175827422,-0.08715871356810032,-258.07695087514503,-258.0193041110141,1463,1498
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,or_midpoint,none,6946,104,,4917,9.079134792930626,0.33231645312182223,0.3261286687659878,-0.06484823754028081,-318.85878398556076,-319.3435669255314,2405,2512
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,or_midpoint,flat_vwap_slope_only,6946,104,,2577,4.758375098918491,0.31276678308110206,0.2810742802633195,-0.06462836435798784,-166.54729495053468,-166.5975547470947,1227,1350
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,1.5R,none,6946,104,,2082,3.8443682405697706,0.4543707973102786,0.8781620477177181,-0.024573366490403398,-51.16174903301987,-57.16972222052396,999,1083
PMH_PML_break_reclaim,le10bars,next_bar_open_after_reclaim,atr_1.0,1.5R,flat_vwap_slope_only,6946,104,,1404,2.5924558164072806,0.4444444444444444,0.895106014321122,-0.017085831664461138,-23.988507656903437,-31.57402986214339,655,749
PMH_PML_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,vwap_target,none,6946,1305,,5583,10.30888947507254,0.14830736163353037,0.2111182990276762,-2.710265674867128,-15131.413262783175,-15140.026627018098,2713,2870
PMH_PML_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,vwap_target,flat_vwap_slope_only,6946,1305,,2870,5.299393299920865,0.14076655052264808,0.1393702302302353,-2.792132645902339,-8013.420693739712,-8011.897574916745,1352,1518
PMH_PML_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,or_midpoint,none,6946,1305,,5559,10.26457399103139,0.13365713257780176,0.24914123842792138,-2.193937578701209,-12196.099000000022,-12193.37600000001,2705,2854
PMH_PML_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,or_midpoint,flat_vwap_slope_only,6946,1305,,2850,5.262463729886574,0.13508771929824562,0.21155657943732198,-2.219914736842117,-6326.757000000032,-6324.034000000032,1344,1506
PMH_PML_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,1.5R,none,6946,1305,,5608,10.355051437615405,0.0,0.0,-1.3677018544935806,-7670.072,-7667.072,2716,2892
PMH_PML_break_reclaim,le10bars,failed_level_retest,beyond_extreme_2tick,1.5R,flat_vwap_slope_only,6946,1305,,2891,5.338169348456872,0.0,0.0,-1.3089145624351435,-3784.072,-3781.072,1354,1537
PMH_PML_break_reclaim,le10bars,failed_level_retest,atr_1.0,vwap_target,none,6946,1305,,4444,8.205750461619626,0.3814131413141314,0.36960602193279446,-0.048857438928321555,-217.122458597461,-217.94920841741973,2172,2272
