stage,drive,strength,entry,stop,exit,filt,n_events,n_no_fill,n,tr_per_wk,wr,pf,exp_r,tot_r,maxdd_r,n_long,n_short,flags
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,trail_3.5xATR,none,93,39,54,0.09970983909258771,0.37037037037037035,0.511551338062173,-0.29350342362003823,-15.849184875482063,-23.202236812081026,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,trail_3.5xATR,vwap_slope_agreement,93,39,54,0.09970983909258771,0.37037037037037035,0.511551338062173,-0.29350342362003823,-15.849184875482063,-23.202236812081026,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,drive_midpoint,trail_3.5xATR,exclude_gap_fill,93,39,34,0.06278026905829596,0.3235294117647059,0.26044984544305405,-0.4457023628273839,-15.153880336131053,-15.5165710453407,15,19,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,1.5R,vwap_slope_agreement,93,0,93,0.1717225006594566,0.5698924731182796,1.2447342133711725,0.047329757036833904,4.401667404425553,-3.1240449263158463,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,1.5R,exclude_gap_fill,93,0,64,0.11817462410973359,0.5,0.8220206330511564,-0.04049388148732995,-2.5916084151891168,-3.5312709185846667,32,32,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,2R,none,93,0,93,0.1717225006594566,0.5698924731182796,1.1804804390656345,0.03490356012431474,3.246031091561271,-3.1240449263158463,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,2R,vwap_slope_agreement,93,0,93,0.1717225006594566,0.5698924731182796,1.1804804390656345,0.03490356012431474,3.246031091561271,-3.1240449263158463,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,2R,exclude_gap_fill,93,0,64,0.11817462410973359,0.5,0.7871277704034941,-0.04843270871787204,-3.0996933579438104,-3.613301436788906,32,32,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,drive_extension_1.0x,none,93,0,93,0.1717225006594566,0.6021505376344086,1.3212029032673265,0.05695670784088617,5.296973829202414,-2.038221108749518,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,drive_extension_1.0x,vwap_slope_agreement,93,0,93,0.1717225006594566,0.6021505376344086,1.3212029032673265,0.05695670784088617,5.296973829202414,-2.038221108749518,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,drive_extension_1.0x,exclude_gap_fill,93,0,64,0.11817462410973359,0.546875,0.9777854081428246,-0.0045355383006903185,-0.2902744512441804,-2.392797393014516,32,32,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,trail_3.5xATR,none,93,0,93,0.1717225006594566,0.44086021505376344,1.060323658048285,0.008955521207581892,0.8328634723051159,-3.483937931187645,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,trail_3.5xATR,vwap_slope_agreement,93,0,93,0.1717225006594566,0.44086021505376344,1.060323658048285,0.008955521207581892,0.8328634723051159,-3.483937931187645,45,48,
B-fine,first-30m,ge0.5atr,next_bar_open,atr_1.5,trail_3.5xATR,exclude_gap_fill,93,0,64,0.11817462410973359,0.390625,0.8758121948695007,-0.018060028124261406,-1.15584179995273,-2.9352630827848296,32,32,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,1.5R,vwap_slope_agreement,93,39,54,0.09970983909258771,0.6296296296296297,1.3696037185176453,0.06627799074582755,3.579011500274688,-1.8793099078038358,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,1.5R,exclude_gap_fill,93,39,34,0.06278026905829596,0.5588235294117647,1.059910624149558,0.012084932520848702,0.41088770570885585,-1.8521636905437164,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,2R,none,93,39,54,0.09970983909258771,0.6296296296296297,1.4212386068784797,0.07553725000508693,4.079011500274694,-1.8793099078038358,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,2R,vwap_slope_agreement,93,39,54,0.09970983909258771,0.6296296296296297,1.4212386068784797,0.07553725000508693,4.079011500274694,-1.8793099078038358,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,2R,exclude_gap_fill,93,39,34,0.06278026905829596,0.5588235294117647,1.132814514089757,0.026790814873790085,0.9108877057088629,-1.8521636905437164,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,drive_extension_1.0x,none,93,39,54,0.09970983909258771,0.6481481481481481,1.4413123249768587,0.07401831003967108,3.9969887421422383,-1.5164242868792508,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,drive_extension_1.0x,vwap_slope_agreement,93,39,54,0.09970983909258771,0.6481481481481481,1.4413123249768587,0.07401831003967108,3.9969887421422383,-1.5164242868792508,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,drive_extension_1.0x,exclude_gap_fill,93,39,34,0.06278026905829596,0.5588235294117647,0.9226228167464724,-0.015608217266071155,-0.5306793870464193,-2.104766934119762,15,19,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,trail_3.5xATR,none,93,39,54,0.09970983909258771,0.5370370370370371,1.2197686935520353,0.030198929773171262,1.6307422077512481,-1.5615041462014307,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,trail_3.5xATR,vwap_slope_agreement,93,39,54,0.09970983909258771,0.5370370370370371,1.2197686935520353,0.030198929773171262,1.6307422077512481,-1.5615041462014307,23,31,
B-fine,first-30m,ge0.5atr,pullback_vwap,atr_1.5,trail_3.5xATR,exclude_gap_fill,93,39,34,0.06278026905829596,0.5294117647058824,1.0727406426480017,0.010278094350038096,0.34945520790129525,-1.457034086124668,15,19,
