level,side,event_type,window,entry_type,stop_type,exit_type,filter,n,tr_wk,wr,pf,expR,totR,maxDD_R,n_no_retest_skip,flag
on_hi,upper,break_and_retest,1000_1130,retest_limit,1.0xATR,vwap,vwap_slope_agreement,64,0.118,0.4062,0.3179,-0.2419,-15.482,-16.154,57,sub_floor
on_hi,upper,break_and_retest,1000_1130,retest_limit,1.0xATR,prior_day_mid,none,124,0.229,0.4194,0.8659,-0.085,-10.535,-22.266,73,sub_floor
on_hi,upper,break_and_retest,1000_1130,retest_limit,1.0xATR,prior_day_mid,vwap_slope_agreement,91,0.168,0.4396,0.9526,-0.0293,-2.667,-12.383,57,sub_floor
on_hi,upper,break_and_retest,1000_1130,retest_limit,1.0xATR,1.5R,none,525,0.969,0.4571,0.7286,-0.1964,-103.134,-117.438,73,dead
on_hi,upper,break_and_retest,1000_1130,retest_limit,1.0xATR,1.5R,vwap_slope_agreement,379,0.699,0.4776,0.7776,-0.1563,-59.244,-77.809,57,dead
on_hi,upper,break_and_retest,1000_1130,retest_limit,1.0xATR,2R,none,525,0.969,0.3657,0.7097,-0.2452,-128.742,-148.454,73,dead
on_hi,upper,break_and_retest,1000_1130,retest_limit,1.0xATR,2R,vwap_slope_agreement,379,0.699,0.3747,0.7273,-0.2303,-87.268,-106.047,57,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,vwap,none,463,0.854,0.27,0.3646,-0.6257,-289.718,-294.94,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,vwap,vwap_slope_agreement,94,0.173,0.1809,0.0847,-0.922,-86.67,-86.634,0,sub_floor
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,prior_day_mid,none,384,0.708,0.2604,0.519,-0.5579,-214.245,-236.193,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,prior_day_mid,vwap_slope_agreement,249,0.459,0.253,0.3896,-0.7341,-182.78,-190.163,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,1.5R,none,1922,3.546,0.3783,0.3414,-0.6642,-1276.632,-1282.759,0,dead
on_hi,upper,break_and_retest,full_rth,next_bar_open,beyond_extreme_2tk,1.5R,vwap_slope_agreement,1256,2.317,0.371,0.3168,-0.7082,-889.508,-893.206,0,dead
