band_k,stop_atr,tgt,gate,thr,n,pf,wr,net,n_is,pf_is,net_is,n_oos,pf_oos,net_oos
2.0,1.5,half,off,,2161,0.8456825136957712,0.5118000925497455,-7729.742221458337,1454,0.8609150251549584,-4106.034339791871,707,0.8238190111738384,-3623.7078816664653
2.0,1.5,half,adx,20.0,1231,0.852351194244048,0.512591389114541,-3569.9820182724434,820,0.8131766230780241,-2787.0394772513646,411,0.9154565507814105,-782.9425410210788
2.0,1.5,half,atrpct,0.4,892,0.8640338508223715,0.523542600896861,-2428.4124815357645,609,0.8618303671260293,-1557.6257484262387,283,0.8678049144662866,-870.7867331095258
2.0,1.5,half,vcross,3.0,1589,0.8198368938965542,0.5084959093769666,-6141.232666541455,1083,0.8394476129151701,-3251.5112437523458,506,0.7911303145464705,-2889.721422789109
2.0,1.5,half,orange,6.0,2143,0.8463219761815249,0.510965935604293,-7630.7052685539475,1446,0.8636546154552978,-3996.4731306479825,697,0.8213474197631764,-3634.232137905965
2.0,2.0,vwap,off,,1979,0.900402840766881,0.4320363820111167,-6608.2003742894085,1332,0.8945837856278038,-4228.726261163054,647,0.9093005516579207,-2379.4741131263545
2.0,2.0,vwap,adx,20.0,1067,0.8909188462283694,0.44611059044048734,-3332.5344331215983,700,0.8740931786624266,-2368.905366761106,367,0.917892683032087,-963.6290663604923
2.0,2.0,vwap,atrpct,0.4,816,0.9333477346717776,0.4497549019607843,-1559.3702148005686,555,0.9764666534797893,-347.717801986033,261,0.8594382398272843,-1211.6524128145356
2.0,2.0,vwap,vcross,3.0,1435,0.9161959053820286,0.4425087108013937,-3705.7991059864235,976,0.9426406830913009,-1532.931841479045,459,0.8757986424344362,-2172.8672645073784
2.0,2.0,vwap,orange,6.0,1962,0.8963100151894472,0.43017329255861364,-6823.2898247484845,1324,0.8893475441598218,-4419.486749370677,638,0.9070615556222636,-2403.8030753778075
2.0,2.0,half,off,,2113,0.8835220779591664,0.5806909607193563,-6248.924039568672,1426,0.8368932939795607,-5369.659169856877,687,0.9575805224991725,-879.2648697117947
2.0,2.0,half,adx,20.0,1185,0.8781542706810304,0.589873417721519,-3089.6334550747324,791,0.8234557145621662,-2803.296267242951,394,0.9697899647338262,-286.3371878317812
2.0,2.0,half,atrpct,0.4,871,0.8894861085911291,0.5970149253731343,-2111.5376131282846,597,0.8474770665246121,-1900.7407969702817,274,0.9682751624459192,-210.7968161580029
2.0,2.0,half,vcross,3.0,1545,0.8781153288892001,0.5838187702265372,-4413.957597750317,1054,0.8472563362863423,-3400.0630440043224,491,0.9273417088838866,-1013.8945537459949
2.0,2.0,half,orange,6.0,2095,0.8808172467054016,0.5794749403341288,-6349.34625554334,1418,0.8358312817810023,-5376.003699674977,677,0.9525828228652657,-973.342555868363
