idx,detector,c,p,W,trig_tk,E,exit_mode,Rmult,trail_atr,n,pf,wr,net,expR,is_n,is_pf,oos_n,oos_pf,minyr_pf
31,ratio,1.0,,6,4,8,trail,2.0,3.0,94,1.4059701984300201,28.723404255319153,880.1071428571395,0.06180991248815145,46,0.7475980558381385,48,1.9174924254621484,0.27166303225065896
32,ratio,1.0,,12,1,4,R,1.5,2.0,1,inf,100.0,3.25,0.18571428571428572,1,inf,0,,inf
33,ratio,1.0,,12,1,4,R,2.0,2.0,1,inf,100.0,3.25,0.18571428571428572,1,inf,0,,inf
34,ratio,1.0,,12,1,4,trail,2.0,2.0,1,0.0,0.0,-1.785714285713766,-0.10204081632650092,1,0.0,0,,0.0
35,ratio,1.0,,12,1,4,trail,2.0,3.0,1,0.0,0.0,-5.053571428572468,-0.28877551020414105,1,0.0,0,,0.0
36,ratio,1.0,,12,1,8,R,1.5,2.0,1,inf,100.0,3.25,0.18571428571428572,1,inf,0,,inf
37,ratio,1.0,,12,1,8,R,2.0,2.0,1,inf,100.0,3.25,0.18571428571428572,1,inf,0,,inf
38,ratio,1.0,,12,1,8,trail,2.0,2.0,1,0.0,0.0,-1.785714285713766,-0.10204081632650092,1,0.0,0,,0.0
39,ratio,1.0,,12,1,8,trail,2.0,3.0,1,0.0,0.0,-5.053571428572468,-0.28877551020414105,1,0.0,0,,0.0
40,ratio,1.0,,12,4,4,R,1.5,2.0,1,inf,100.0,2.5,0.136986301369863,1,inf,0,,inf
41,ratio,1.0,,12,4,4,R,2.0,2.0,1,inf,100.0,2.5,0.136986301369863,1,inf,0,,inf
42,ratio,1.0,,12,4,4,trail,2.0,2.0,1,0.0,0.0,-2.535714285713766,-0.13894324853226114,1,0.0,0,,0.0
43,ratio,1.0,,12,4,4,trail,2.0,3.0,1,0.0,0.0,-5.803571428572468,-0.3180039138943818,1,0.0,0,,0.0
44,ratio,1.0,,12,4,8,R,1.5,2.0,1,inf,100.0,2.5,0.136986301369863,1,inf,0,,inf
45,ratio,1.0,,12,4,8,R,2.0,2.0,1,inf,100.0,2.5,0.136986301369863,1,inf,0,,inf
46,ratio,1.0,,12,4,8,trail,2.0,2.0,1,0.0,0.0,-2.535714285713766,-0.13894324853226114,1,0.0,0,,0.0
47,ratio,1.0,,12,4,8,trail,2.0,3.0,1,0.0,0.0,-5.803571428572468,-0.3180039138943818,1,0.0,0,,0.0
48,ratio,1.5,,4,1,4,R,1.5,2.0,2891,0.9313380750292043,39.22518159806295,-5804.25,-0.05332992316272678,1964,1.002524934038936,927,0.8304827320029733,0.7629168597850317
49,ratio,1.5,,4,1,4,R,2.0,2.0,2612,0.9611849658589643,34.80091883614089,-3211.75,-0.03874428713412299,1764,1.0549211755241905,848,0.8325880380100615,0.7674377616215026
50,ratio,1.5,,4,1,4,trail,2.0,2.0,3192,0.9329902972804023,35.244360902255636,-4555.6785714285415,-0.01872567841712811,2151,0.9787589760456074,1041,0.8659795682723125,0.8267869159727351
51,ratio,1.5,,4,1,4,trail,2.0,3.0,2734,1.015049974661378,33.94294074615947,1059.5714285714039,0.020747267381400727,1831,1.1454438912375196,903,0.8384525352171545,0.8033931516989236
52,ratio,1.5,,4,1,8,R,1.5,2.0,2871,0.9452533029490776,39.7770811563915,-4600.625,-0.04060716823109054,1949,1.0193143200179076,922,0.8409528927100125,0.7800690326577573
53,ratio,1.5,,4,1,8,R,2.0,2.0,2591,0.964740969509795,35.082979544577384,-2911.25,-0.031369099413864523,1751,1.0644095702008736,840,0.82853109571274,0.7820302270356644
54,ratio,1.5,,4,1,8,trail,2.0,2.0,3188,0.9339364335081535,35.28858218318695,-4484.35714285711,-0.014709535998230177,2147,0.9807703570141931,1041,0.8657159549469667,0.8298507154721494
55,ratio,1.5,,4,1,8,trail,2.0,3.0,2726,1.0253579283823144,34.04255319148936,1782.482142857123,0.03182459934102753,1825,1.1614363642619625,901,0.8405830783643323,0.8143150492344302
56,ratio,1.5,,4,4,4,R,1.5,2.0,2860,0.9219873751367009,38.98601398601399,-6652.0,-0.06080561659275417,1938,1.003928670238185,922,0.8074965911806463,0.743915832970857
57,ratio,1.5,,4,4,4,R,2.0,2.0,2587,0.9479058767176601,34.712021646695014,-4350.25,-0.048096323762531985,1745,1.0329285308252802,842,0.8308212354113294,0.7745126052267183
58,ratio,1.5,,4,4,4,trail,2.0,2.0,3190,0.9117924586995387,34.89028213166144,-6076.214285714257,-0.03228284823621487,2151,0.9544277386983692,1039,0.8490552498789108,0.8105396334858086
