tag,direction,n,wr,pf,expr,totr,per_year,removed_n,removed_wr,removed_totr,phi,overlap_pct,auditor_flag
w9_none_15m,avoid,396,59.8,2.482,0.4514,178.8,"{""2021"": 21.9, ""2022"": 24.0, ""2023"": 37.6, ""2024"": 22.3, ""2025"": 58.9, ""2026"": 14.1}",39,46.2,5.2,0.008,62.9,False
w9_none_30m,keep,59,61.0,2.727,0.5566,32.8,"{""2021"": 8.5, ""2022"": -0.1, ""2023"": 4.3, ""2024"": 1.5, ""2025"": 12.3, ""2026"": 6.3}",376,58.2,151.1,0.014,63.4,False
w9_none_30m,avoid,376,58.2,2.241,0.4019,151.1,"{""2021"": 19.5, ""2022"": 27.9, ""2023"": 33.7, ""2024"": 17.2, ""2025"": 45.6, ""2026"": 7.2}",59,61.0,32.8,0.014,63.4,False
w9_none_1h,keep,117,62.4,2.742,0.532,62.2,"{""2021"": 6.8, ""2022"": 13.9, ""2023"": 11.4, ""2024"": 7.0, ""2025"": 11.4, ""2026"": 11.8}",318,57.2,121.7,-0.01,60.9,False
w9_none_1h,avoid,318,57.2,2.158,0.3827,121.7,"{""2021"": 21.2, ""2022"": 14.0, ""2023"": 26.6, ""2024"": 11.7, ""2025"": 46.5, ""2026"": 1.7}",117,62.4,62.2,-0.01,60.9,False
w9_opposed_15m,keep,165,58.2,2.439,0.4165,68.7,"{""2021"": 8.7, ""2022"": 10.1, ""2023"": 11.9, ""2024"": 12.1, ""2025"": 25.9, ""2026"": -0.0}",270,58.9,115.2,-0.086,56.7,False
w9_opposed_15m,avoid,270,58.9,2.238,0.4267,115.2,"{""2021"": 19.2, ""2022"": 17.8, ""2023"": 26.0, ""2024"": 6.6, ""2025"": 32.0, ""2026"": 13.6}",165,58.2,68.7,-0.086,56.7,False
w9_opposed_30m,keep,135,57.0,2.169,0.3775,51.0,"{""2021"": 8.6, ""2022"": 11.5, ""2023"": 10.4, ""2024"": 7.3, ""2025"": 14.3, ""2026"": -1.2}",300,59.3,133.0,-0.062,57.4,False
w9_opposed_30m,avoid,300,59.3,2.368,0.4433,133.0,"{""2021"": 19.4, ""2022"": 16.4, ""2023"": 27.5, ""2024"": 11.4, ""2025"": 43.6, ""2026"": 14.7}",135,57.0,51.0,-0.062,57.4,False
w9_opposed_1h,keep,65,56.9,2.326,0.4307,28.0,"{""2021"": 5.9, ""2022"": 6.5, ""2023"": 10.7, ""2024"": -0.4, ""2025"": 10.0, ""2026"": -4.7}",370,58.9,155.9,0.002,61.9,False
