range_tf,sig_tf,session,model,status,gate,canary_pass,overlap_ny_pct,lookback,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts,per_year
15m,1m,ny_am,W4,REJECTED,PF 0.35 < 1.15,,,40.0,fixed2r,29,0.0448,24.1,0.35,-0.753,-21.8,-21.1,5.39,null
15m,1m,ny_am,W5,REJECTED,PF 0.74 < 1.15,,,40.0,target_or_2r,9200,14.2226,35.9,0.74,-0.203,-1865.4,-1879.8,8.81,null
15m,1m,ny_am,W6,REJECTED,PF 0.61 < 1.15,,,20.0,fixed2r,109,0.1685,27.5,0.61,-0.291,-31.7,-43.0,16.22,null
15m,1m,ny_am,W7,REJECTED,PF 0.19 < 1.15,,,20.0,fixed2r,1810,2.7981,18.6,0.19,-1.063,-1923.7,-1922.7,2.6,null
15m,1m,ny_am,W8,REJECTED,PF 0.18 < 1.15,,,20.0,fixed2r,1531,2.3668,17.0,0.18,-1.102,-1687.6,-1686.2,2.8,null
15m,1m,24h-control,W1,REJECTED,PF 0.68 < 1.15,,,40.0,fixed2r,20996,32.4585,33.7,0.68,-0.271,-5679.8,-5699.4,6.3,null
15m,1m,24h-control,W1+W11,REJECTED,PF 0.62 < 1.15,,,40.0,fixed2r,2773,4.2869,32.7,0.62,-0.333,-922.5,-940.2,5.45,null
15m,1m,24h-control,W2,REJECTED,PF 0.60 < 1.15,,,40.0,fixed2r,24692,38.1723,33.3,0.6,-0.364,-8999.4,-8996.7,4.4,null
15m,1m,24h-control,W3,REJECTED,PF 0.25 < 1.15,,,20.0,fixed2r,107,0.1654,20.6,0.25,-0.886,-94.8,-92.3,3.73,null
15m,1m,24h-control,W3+W11,REJECTED,PF 0.36 < 1.15,,,20.0,fixed2r,72,0.1113,26.4,0.36,-0.693,-49.9,-47.4,4.38,null
15m,1m,24h-control,W4,REJECTED,PF 0.32 < 1.15,,,40.0,fixed2r,51,0.0788,21.6,0.32,-0.744,-38.0,-37.4,5.5,null
15m,1m,24h-control,W5,REJECTED,PF 0.65 < 1.15,,,40.0,target_or_2r,33375,51.5956,34.8,0.65,-0.3,-10026.1,-10051.9,5.99,null
15m,1m,24h-control,W6,REJECTED,PF 1.08 < 1.15,,,20.0,fixed2r,341,0.5272,40.5,1.08,0.052,17.9,-45.7,14.75,null
15m,1m,24h-control,W7,REJECTED,PF 0.16 < 1.15,,,40.0,fixed2r,6707,10.3686,19.9,0.16,-1.203,-8067.4,-8068.3,1.73,null
15m,1m,24h-control,W8,REJECTED,PF 0.17 < 1.15,,,20.0,fixed2r,4306,6.6568,18.5,0.17,-1.169,-5033.2,-5030.4,2.07,null
15m,5m,asia,W1,REJECTED,PF 0.88 < 1.15,,,40.0,fixed2r,426,0.6586,37.6,0.88,-0.093,-39.7,-73.7,7.91,null
15m,5m,asia,W1+W11,REJECTED,PF 0.83 < 1.15,,,20.0,fixed2r,344,0.5318,38.1,0.83,-0.134,-46.2,-58.1,6.67,null
15m,5m,asia,W2,REJECTED,PF 0.64 < 1.15,,,20.0,fixed2r,2591,4.0055,33.3,0.64,-0.311,-804.7,-802.8,5.2,null
15m,5m,asia,W3,REJECTED,PF 0.18 < 1.15,,,20.0,fixed2r,72,0.1113,20.8,0.18,-1.08,-77.8,-76.4,2.63,null
15m,5m,asia,W3+W11,REJECTED,PF 0.06 < 1.15,,,20.0,fixed2r,23,0.0356,13.0,0.06,-1.334,-30.7,-28.3,2.18,null
15m,5m,asia,W4,REJECTED,PF 0.29 < 1.15,,,20.0,fixed2r,100,0.1546,26.0,0.29,-0.837,-83.7,-85.0,2.42,null
15m,5m,asia,W5,REJECTED,PF 0.70 < 1.15,,,20.0,target_or_2r,3520,5.4417,35.9,0.7,-0.253,-891.7,-901.3,6.41,null
15m,5m,asia,W6,REJECTED,PF 0.76 < 1.15,,,20.0,fixed2r,121,0.1871,33.1,0.76,-0.186,-22.5,-30.8,5.67,null
15m,5m,asia,W7,REJECTED,PF 0.25 < 1.15,,,40.0,fixed2r,98,0.1515,26.5,0.25,-0.879,-86.1,-87.3,2.13,null
15m,5m,asia,W8,REJECTED,PF 0.32 < 1.15,,,40.0,fixed2r,63,0.0974,23.8,0.32,-0.803,-50.6,-49.8,4.39,null
15m,5m,london,W1,REJECTED,PF 0.69 < 1.15,,,20.0,fixed2r,3796,5.8684,33.4,0.69,-0.261,-991.3,-992.3,6.66,null
15m,5m,london,W1+W11,REJECTED,PF 0.67 < 1.15,,,20.0,fixed2r,1530,2.3653,32.3,0.67,-0.28,-428.0,-427.8,7.47,null
15m,5m,london,W2,REJECTED,PF 0.64 < 1.15,,,20.0,fixed2r,4525,6.9954,32.6,0.64,-0.315,-1425.1,-1429.5,5.8,null
15m,5m,london,W3,REJECTED,PF 0.27 < 1.15,,,20.0,fixed2r,96,0.1484,22.9,0.27,-0.859,-82.5,-84.1,3.31,null
15m,5m,london,W3+W11,REJECTED,PF 0.28 < 1.15,,,20.0,fixed2r,199,0.3076,24.6,0.28,-0.838,-166.8,-166.5,2.87,null
15m,5m,london,W4,REJECTED,PF 0.33 < 1.15,,,40.0,fixed2r,85,0.1314,29.4,0.33,-0.804,-68.3,-67.9,2.17,null
15m,5m,london,W5,REJECTED,PF 0.64 < 1.15,,,20.0,target_or_2r,5879,9.0886,37.6,0.64,-0.29,-1704.1,-1709.4,6.32,null
15m,5m,london,W6,REJECTED,PF 0.81 < 1.15,,,20.0,fixed2r,151,0.2334,32.5,0.81,-0.14,-21.1,-46.9,14.88,null
15m,5m,london,W7,REJECTED,PF 0.27 < 1.15,,,20.0,fixed2r,1061,1.6402,25.3,0.27,-0.904,-959.1,-956.7,2.21,null
15m,5m,london,W8,REJECTED,PF 0.26 < 1.15,,,20.0,fixed2r,517,0.7992,21.9,0.26,-0.884,-456.9,-457.7,3.47,null
15m,5m,pre_ny,W1,REJECTED,PF 0.79 < 1.15,,,40.0,fixed2r,1219,1.8845,34.5,0.79,-0.169,-206.1,-213.1,9.5,null
