range_tf,sig_tf,session,model,status,gate,canary_pass,overlap_ny_pct,lookback,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts,per_year
4h,15m,london,W8,REJECTED,PF 0.49 < 1.15,,,40.0,fixed2r,15,0.0232,26.7,0.49,-0.447,-6.7,-7.4,11.87,null
4h,15m,pre_ny,W1,REJECTED,PF 1.11 < 1.15,,,20.0,exit3,147,0.2273,39.5,1.11,0.052,7.6,-9.1,16.26,null
4h,15m,pre_ny,W1+W11,REJECTED,tr/wk 0.104 < 0.5,,,20.0,fixed2r,67,0.1036,46.3,1.45,0.261,17.5,-7.7,20.98,null
4h,15m,pre_ny,W2,REJECTED,PF 0.68 < 1.15,,,20.0,fixed2r,385,0.5952,30.6,0.68,-0.262,-101.0,-105.6,10.89,null
4h,15m,pre_ny,W3,REJECTED,PF 0.13 < 1.15,,,20.0,fixed2r,12,0.0186,8.3,0.13,-0.936,-11.2,-11.5,22.92,null
4h,15m,pre_ny,W3+W11,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,pre_ny,W4,REJECTED,PF 0.44 < 1.15,,,20.0,fixed2r,18,0.0278,22.2,0.44,-0.523,-9.4,-8.3,9.3,null
4h,15m,pre_ny,W5,REJECTED,PF 0.75 < 1.15,,,20.0,target_or_2r,354,0.5473,32.8,0.75,-0.193,-68.2,-73.6,17.89,null
4h,15m,pre_ny,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,pre_ny,W7,REJECTED,PF 0.37 < 1.15,,,20.0,fixed2r,66,0.102,22.7,0.37,-0.645,-42.6,-43.5,8.66,null
4h,15m,pre_ny,W8,REJECTED,PF 0.44 < 1.15,,,20.0,fixed2r,66,0.102,24.2,0.44,-0.538,-35.5,-36.9,7.91,null
4h,15m,ny_am,W1,REJECTED,PF 0.88 < 1.15,,,20.0,fixed2r,526,0.8132,33.8,0.88,-0.086,-45.4,-75.4,27.96,null
4h,15m,ny_am,W1+W11,REJECTED,PF 0.92 < 1.15,,,20.0,fixed2r,465,0.7189,34.8,0.92,-0.055,-25.8,-59.1,28.03,null
4h,15m,ny_am,W2,REJECTED,PF 0.84 < 1.15,,,40.0,fixed2r,287,0.4437,34.5,0.84,-0.116,-33.3,-45.6,16.75,null
4h,15m,ny_am,W3,REJECTED,PF 0.28 < 1.15,,,20.0,fixed2r,11,0.017,18.2,0.28,-0.719,-7.9,-9.5,12.6,null
4h,15m,ny_am,W3+W11,REJECTED,PF 0.28 < 1.15,,,20.0,fixed2r,11,0.017,18.2,0.28,-0.719,-7.9,-9.5,12.6,null
4h,15m,ny_am,W4,REJECTED,PF 0.24 < 1.15,,,20.0,fixed2r,29,0.0448,17.2,0.24,-0.819,-23.8,-22.5,7.05,null
4h,15m,ny_am,W5,REJECTED,PF 0.82 < 1.15,,,20.0,target_or_2r,723,1.1177,33.7,0.82,-0.127,-91.9,-102.8,31.84,null
4h,15m,ny_am,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,ny_am,W7,REJECTED,PF 0.39 < 1.15,,,40.0,fixed2r,218,0.337,22.9,0.39,-0.597,-130.2,-139.7,8.79,null
4h,15m,ny_am,W8,REJECTED,PF 0.47 < 1.15,,,40.0,fixed2r,45,0.0696,24.4,0.47,-0.461,-20.7,-25.1,14.6,null
4h,15m,24h-control,W1,REJECTED,PF 0.93 < 1.15,,,20.0,fixed2r,2240,3.4629,35.5,0.93,-0.052,-117.2,-146.1,18.59,null
4h,15m,24h-control,W1+W11,REJECTED,PF 0.93 < 1.15,,,20.0,fixed2r,763,1.1795,35.0,0.93,-0.051,-39.2,-84.5,25.5,null
4h,15m,24h-control,W2,REJECTED,PF 0.78 < 1.15,,,20.0,fixed2r,4066,6.2858,33.9,0.78,-0.173,-701.4,-726.1,10.29,null
4h,15m,24h-control,W3,REJECTED,PF 0.18 < 1.15,,,20.0,fixed2r,27,0.0417,11.1,0.18,-0.868,-23.4,-23.6,19.1,null
4h,15m,24h-control,W3+W11,REJECTED,PF 0.23 < 1.15,,,20.0,fixed2r,21,0.0325,14.3,0.23,-0.801,-16.8,-17.0,17.59,null
4h,15m,24h-control,W4,REJECTED,PF 0.31 < 1.15,,,20.0,fixed2r,41,0.0634,19.5,0.31,-0.695,-28.5,-27.2,7.72,null
4h,15m,24h-control,W5,REJECTED,PF 0.82 < 1.15,,,20.0,target_or_2r,4219,6.5223,34.6,0.82,-0.131,-551.8,-561.9,16.48,null
4h,15m,24h-control,W6,REJECTED,n<10 trades (all variants),,,,,0,0.0,,,,,,,
4h,15m,24h-control,W7,REJECTED,PF 0.33 < 1.15,,,40.0,fixed2r,577,0.892,22.0,0.33,-0.683,-394.2,-401.9,6.71,null
4h,15m,24h-control,W8,REJECTED,PF 0.41 < 1.15,,,40.0,fixed2r,121,0.1871,23.1,0.41,-0.565,-68.4,-68.3,12.39,null
