range_tf,sig_tf,lookback,session,model,exit_type,reclaim_bars,fb_bars,sos_variant,vol_filter,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
5m,1m,40,24h-control,W1,exit3,1.0,,,False,33455,51.7193,33.2,0.5,-0.379,-12675.7,-12682.7,4.42
5m,1m,40,24h-control,W1+W11,fixed2r,1.0,,,True,5796,8.9602,32.2,0.56,-0.416,-2412.1,-2426.4,4.09
5m,1m,40,24h-control,W1+W11,exit3,1.0,,,True,5796,8.9602,32.0,0.46,-0.428,-2482.1,-2491.9,4.09
5m,1m,40,24h-control,W1,fixed2r,3.0,,,False,38782,59.9545,33.2,0.62,-0.336,-13018.5,-13040.8,4.98
5m,1m,40,24h-control,W1,exit3,3.0,,,False,38782,59.9545,33.0,0.52,-0.354,-13723.5,-13732.3,4.98
5m,1m,40,24h-control,W1+W11,fixed2r,3.0,,,True,7531,11.6424,32.2,0.57,-0.394,-2966.9,-2980.0,4.45
5m,1m,40,24h-control,W1+W11,exit3,3.0,,,True,7531,11.6424,32.0,0.48,-0.403,-3032.9,-3043.0,4.45
5m,1m,40,24h-control,W2,fixed2r,1.0,,,,34979,54.0753,33.4,0.55,-0.429,-15018.0,-15018.8,3.47
5m,1m,40,24h-control,W2,exit3,1.0,,,,34979,54.0753,33.1,0.44,-0.448,-15674.0,-15672.8,3.47
5m,1m,40,24h-control,W2,fixed2r,3.0,,,,40723,62.9552,33.3,0.57,-0.403,-16397.0,-16400.9,3.84
5m,1m,40,24h-control,W2,exit3,3.0,,,,40723,62.9552,32.9,0.47,-0.416,-16945.7,-16948.2,3.84
5m,1m,40,24h-control,W3,fixed2r,1.0,,mid,False,1090,1.6851,18.6,0.19,-1.091,-1189.4,-1187.3,2.39
5m,1m,40,24h-control,W3,exit3,1.0,,mid,False,1090,1.6851,17.3,0.12,-1.143,-1245.4,-1243.3,2.39
5m,1m,40,24h-control,W3+W11,fixed2r,1.0,,mid,True,539,0.8333,18.4,0.18,-1.092,-588.3,-587.9,2.44
5m,1m,40,24h-control,W3+W11,exit3,1.0,,mid,True,539,0.8333,17.4,0.12,-1.15,-619.8,-617.9,2.44
5m,1m,40,24h-control,W3,fixed2r,1.0,,high,False,182,0.2814,19.2,0.22,-1.002,-182.3,-179.8,3.17
5m,1m,40,24h-control,W3,exit3,1.0,,high,False,182,0.2814,18.7,0.15,-1.073,-195.3,-192.8,3.17
5m,1m,40,24h-control,W3+W11,fixed2r,1.0,,high,True,114,0.1762,22.8,0.28,-0.88,-100.4,-97.9,3.26
5m,1m,40,24h-control,W3+W11,exit3,1.0,,high,True,114,0.1762,22.8,0.19,-0.977,-111.4,-108.4,3.26
5m,1m,40,24h-control,W3,fixed2r,3.0,,mid,False,1272,1.9664,18.9,0.19,-1.102,-1402.0,-1400.3,2.31
5m,1m,40,24h-control,W3,exit3,3.0,,mid,False,1272,1.9664,17.5,0.12,-1.151,-1463.5,-1461.8,2.31
5m,1m,40,24h-control,W3+W11,fixed2r,3.0,,mid,True,641,0.9909,18.3,0.18,-1.116,-715.2,-714.3,2.32
5m,1m,40,24h-control,W3+W11,exit3,3.0,,mid,True,641,0.9909,17.3,0.12,-1.163,-745.7,-744.2,2.32
5m,1m,40,24h-control,W3,fixed2r,3.0,,high,False,207,0.32,19.3,0.22,-1.019,-211.0,-208.5,3.03
5m,1m,40,24h-control,W3,exit3,3.0,,high,False,207,0.32,18.4,0.15,-1.084,-224.5,-222.0,3.03
5m,1m,40,24h-control,W3+W11,fixed2r,3.0,,high,True,132,0.2041,20.5,0.24,-0.976,-128.8,-126.3,3.0
5m,1m,40,24h-control,W3+W11,exit3,3.0,,high,True,132,0.2041,20.5,0.17,-1.048,-138.3,-135.8,3.0
5m,1m,40,24h-control,W4,fixed2r,1.0,,mid,,1234,1.9077,16.0,0.15,-1.21,-1493.2,-1493.6,2.23
5m,1m,40,24h-control,W4,exit3,1.0,,mid,,1234,1.9077,14.8,0.1,-1.246,-1537.7,-1537.6,2.23
5m,1m,40,24h-control,W4,fixed2r,1.0,,high,,260,0.4019,19.2,0.22,-0.968,-251.6,-249.8,3.08
5m,1m,40,24h-control,W4,exit3,1.0,,high,,260,0.4019,17.7,0.15,-1.008,-262.1,-260.3,3.08
5m,1m,40,24h-control,W4,fixed2r,3.0,,mid,,1440,2.2261,16.1,0.15,-1.231,-1772.7,-1773.1,2.12
5m,1m,40,24h-control,W4,exit3,3.0,,mid,,1440,2.2261,14.7,0.1,-1.266,-1822.7,-1822.6,2.12
5m,1m,40,24h-control,W4,fixed2r,3.0,,high,,287,0.4437,18.8,0.21,-1.003,-287.7,-285.9,2.96
5m,1m,40,24h-control,W4,exit3,3.0,,high,,287,0.4437,17.1,0.14,-1.039,-298.2,-296.4,2.96
5m,1m,40,24h-control,W5,target_or_2r,,2.0,,,61826,95.5791,34.9,0.56,-0.405,-25043.6,-25047.4,4.3
5m,1m,40,24h-control,W5,exit3,,2.0,,,61826,95.5791,32.6,0.47,-0.419,-25890.7,-25892.6,4.3
5m,1m,40,24h-control,W5,target_or_2r,,4.0,,,62016,95.8728,35.1,0.57,-0.389,-24133.7,-24137.4,4.45
5m,1m,40,24h-control,W5,exit3,,4.0,,,62016,95.8728,32.8,0.48,-0.401,-24891.1,-24893.0,4.45
5m,1m,40,24h-control,W6,fixed2r,,,,,762,1.178,45.1,1.19,0.12,91.2,-69.4,8.27
5m,1m,40,24h-control,W6,exit3,,,,,762,1.178,45.7,1.14,0.068,51.6,-55.9,8.27
5m,1m,40,24h-control,W7,fixed2r,,,mid,,12177,18.8249,19.7,0.15,-1.272,-15494.7,-15491.8,1.49
5m,1m,40,24h-control,W7,exit3,,,mid,,12177,18.8249,16.3,0.09,-1.317,-16036.2,-16033.2,1.49
5m,1m,40,24h-control,W7,fixed2r,,,high,,6404,9.9002,20.7,0.16,-1.237,-7920.0,-7916.9,1.58
5m,1m,40,24h-control,W7,exit3,,,high,,6404,9.9002,17.2,0.1,-1.288,-8248.5,-8245.4,1.58
5m,1m,40,24h-control,W8,fixed2r,,,mid,,10704,16.5477,18.2,0.14,-1.282,-13721.6,-13722.6,1.6
5m,1m,40,24h-control,W8,exit3,,,mid,,10704,16.5477,15.6,0.09,-1.318,-14111.6,-14112.1,1.6
5m,1m,40,24h-control,W8,fixed2r,,,high,,5513,8.5227,19.3,0.17,-1.156,-6370.8,-6368.7,2.06
5m,1m,40,24h-control,W8,exit3,,,high,,5513,8.5227,17.1,0.11,-1.21,-6668.8,-6666.2,2.06
15m,1m,20,asia,W1,fixed2r,1.0,,,False,3065,4.7383,36.6,0.66,-0.306,-936.4,-940.2,3.63
15m,1m,20,asia,W1,exit3,1.0,,,False,3065,4.7383,36.3,0.54,-0.345,-1056.9,-1058.6,3.63
15m,1m,20,asia,W1+W11,fixed2r,1.0,,,True,548,0.8472,33.0,0.55,-0.438,-240.1,-241.1,3.59
15m,1m,20,asia,W1+W11,exit3,1.0,,,True,548,0.8472,32.7,0.43,-0.473,-259.1,-260.2,3.59
15m,1m,20,asia,W1,fixed2r,3.0,,,False,3372,5.2129,36.8,0.69,-0.267,-899.5,-910.9,4.25
15m,1m,20,asia,W1,exit3,3.0,,,False,3372,5.2129,36.5,0.58,-0.299,-1007.0,-1009.0,4.25
15m,1m,20,asia,W1+W11,fixed2r,3.0,,,True,731,1.1301,33.8,0.59,-0.383,-279.9,-280.5,4.21
15m,1m,20,asia,W1+W11,exit3,3.0,,,True,731,1.1301,33.4,0.48,-0.409,-298.9,-300.3,4.21
15m,1m,20,asia,W2,fixed2r,1.0,,,,3904,6.0353,33.9,0.51,-0.491,-1915.0,-1914.4,2.73
15m,1m,20,asia,W2,exit3,1.0,,,,3904,6.0353,33.3,0.4,-0.501,-1957.0,-1955.9,2.73
15m,1m,20,asia,W2,fixed2r,3.0,,,,4363,6.7449,34.2,0.55,-0.432,-1884.1,-1883.5,3.17
