range_tf,sig_tf,lookback,session,model,exit_type,reclaim_bars,fb_bars,sos_variant,vol_filter,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
1h,5m,20,london,W1+W11,fixed2r,3.0,,,True,270,0.4174,35.9,0.85,-0.117,-31.5,-44.3,8.58
1h,5m,20,london,W1+W11,exit3,3.0,,,True,270,0.4174,35.9,0.72,-0.185,-50.0,-52.8,8.58
1h,5m,20,london,W2,fixed2r,1.0,,,,818,1.2646,33.4,0.61,-0.358,-292.8,-316.4,3.91
1h,5m,20,london,W2,exit3,1.0,,,,818,1.2646,33.4,0.52,-0.354,-289.8,-299.4,3.91
1h,5m,20,london,W2,fixed2r,3.0,,,,887,1.3712,33.9,0.65,-0.303,-269.1,-291.0,4.65
1h,5m,20,london,W2,exit3,3.0,,,,887,1.3712,33.9,0.57,-0.311,-275.6,-284.0,4.65
1h,5m,20,london,W3,fixed2r,1.0,,mid,False,5,0.0077,40.0,0.37,-0.54,-2.7,-2.7,0.87
1h,5m,20,london,W3,exit3,1.0,,mid,False,5,0.0077,20.0,0.2,-0.84,-4.2,-3.2,0.87
1h,5m,20,london,W3+W11,fixed2r,1.0,,mid,True,2,0.0031,0.0,0.0,-2.002,-4.0,-2.4,1.39
1h,5m,20,london,W3+W11,exit3,1.0,,mid,True,2,0.0031,0.0,0.0,-2.002,-4.0,-2.4,1.39
1h,5m,20,london,W3,fixed2r,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W3,exit3,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W3,fixed2r,3.0,,mid,False,5,0.0077,40.0,0.37,-0.54,-2.7,-2.7,0.87
1h,5m,20,london,W3,exit3,3.0,,mid,False,5,0.0077,20.0,0.2,-0.84,-4.2,-3.2,0.87
1h,5m,20,london,W3+W11,fixed2r,3.0,,mid,True,2,0.0031,0.0,0.0,-2.002,-4.0,-2.4,1.39
1h,5m,20,london,W3+W11,exit3,3.0,,mid,True,2,0.0031,0.0,0.0,-2.002,-4.0,-2.4,1.39
1h,5m,20,london,W3,fixed2r,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W3,exit3,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W3+W11,fixed2r,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W3+W11,exit3,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W4,fixed2r,1.0,,mid,,2,0.0031,0.0,0.0,-1.496,-3.0,-1.4,2.56
1h,5m,20,london,W4,exit3,1.0,,mid,,2,0.0031,0.0,0.0,-1.496,-3.0,-1.4,2.56
1h,5m,20,london,W4,fixed2r,1.0,,high,,1,0.0015,100.0,inf,0.864,0.9,0.0,1.06
1h,5m,20,london,W4,exit3,1.0,,high,,1,0.0015,100.0,inf,0.364,0.4,0.0,1.06
1h,5m,20,london,W4,fixed2r,3.0,,mid,,2,0.0031,0.0,0.0,-1.496,-3.0,-1.4,2.56
1h,5m,20,london,W4,exit3,3.0,,mid,,2,0.0031,0.0,0.0,-1.496,-3.0,-1.4,2.56
1h,5m,20,london,W4,fixed2r,3.0,,high,,1,0.0015,100.0,inf,0.864,0.9,0.0,1.06
1h,5m,20,london,W4,exit3,3.0,,high,,1,0.0015,100.0,inf,0.364,0.4,0.0,1.06
1h,5m,20,london,W5,target_or_2r,,2.0,,,1326,2.0499,33.9,0.69,-0.265,-351.4,-351.4,6.4
1h,5m,20,london,W5,exit3,,2.0,,,1326,2.0499,33.9,0.6,-0.281,-372.0,-371.5,6.4
1h,5m,20,london,W5,target_or_2r,,4.0,,,1336,2.0654,34.2,0.72,-0.235,-313.5,-314.5,6.75
1h,5m,20,london,W5,exit3,,4.0,,,1336,2.0654,34.1,0.63,-0.245,-326.9,-326.8,6.75
1h,5m,20,london,W6,fixed2r,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W6,exit3,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,20,london,W7,fixed2r,,,mid,,295,0.4561,22.0,0.21,-0.992,-292.7,-294.8,2.28
1h,5m,20,london,W7,exit3,,,mid,,295,0.4561,19.3,0.13,-1.038,-306.2,-307.1,2.28
1h,5m,20,london,W7,fixed2r,,,high,,163,0.252,22.1,0.21,-1.029,-167.8,-166.2,2.43
1h,5m,20,london,W7,exit3,,,high,,163,0.252,19.0,0.14,-1.078,-175.8,-174.2,2.43
1h,5m,20,london,W8,fixed2r,,,mid,,219,0.3386,24.7,0.31,-0.797,-174.5,-178.1,3.54
1h,5m,20,london,W8,exit3,,,mid,,219,0.3386,23.7,0.21,-0.868,-190.0,-191.8,3.54
1h,5m,20,london,W8,fixed2r,,,high,,105,0.1623,20.0,0.25,-0.929,-97.5,-94.3,3.47
1h,5m,20,london,W8,exit3,,,high,,105,0.1623,19.0,0.19,-0.915,-96.0,-92.8,3.47
1h,5m,20,pre_ny,W1,fixed2r,1.0,,,False,509,0.7869,35.6,0.83,-0.129,-65.5,-81.8,9.4
1h,5m,20,pre_ny,W1,exit3,1.0,,,False,509,0.7869,35.8,0.78,-0.134,-68.3,-71.2,9.4
1h,5m,20,pre_ny,W1+W11,fixed2r,1.0,,,True,178,0.2752,39.3,1.04,0.03,5.4,-18.9,12.53
1h,5m,20,pre_ny,W1+W11,exit3,1.0,,,True,178,0.2752,39.9,0.97,-0.016,-2.8,-16.4,12.53
1h,5m,20,pre_ny,W1,fixed2r,3.0,,,False,564,0.8719,37.6,0.94,-0.045,-25.4,-52.5,11.57
1h,5m,20,pre_ny,W1,exit3,3.0,,,False,564,0.8719,37.8,0.89,-0.063,-35.6,-49.4,11.57
1h,5m,20,pre_ny,W1+W11,fixed2r,3.0,,,True,203,0.3138,41.9,1.18,0.118,24.0,-18.1,13.92
1h,5m,20,pre_ny,W1+W11,exit3,3.0,,,True,203,0.3138,42.4,1.13,0.065,13.3,-13.1,13.92
1h,5m,20,pre_ny,W2,fixed2r,1.0,,,,685,1.059,31.2,0.6,-0.356,-243.6,-247.1,6.22
1h,5m,20,pre_ny,W2,exit3,1.0,,,,685,1.059,31.2,0.52,-0.349,-239.1,-242.7,6.22
1h,5m,20,pre_ny,W2,fixed2r,3.0,,,,790,1.2213,32.3,0.66,-0.287,-227.0,-238.0,7.53
1h,5m,20,pre_ny,W2,exit3,3.0,,,,790,1.2213,32.4,0.58,-0.288,-227.3,-231.3,7.53
1h,5m,20,pre_ny,W3,fixed2r,1.0,,mid,False,47,0.0727,10.6,0.15,-1.001,-47.0,-46.7,10.04
1h,5m,20,pre_ny,W3,exit3,1.0,,mid,False,47,0.0727,10.6,0.11,-0.99,-46.5,-45.7,10.04
1h,5m,20,pre_ny,W3+W11,fixed2r,1.0,,mid,True,28,0.0433,7.1,0.11,-1.116,-31.3,-29.4,8.72
1h,5m,20,pre_ny,W3+W11,exit3,1.0,,mid,True,28,0.0433,7.1,0.08,-1.116,-31.3,-29.4,8.72
1h,5m,20,pre_ny,W3,fixed2r,1.0,,high,False,15,0.0232,20.0,0.29,-0.82,-12.3,-12.2,4.92
1h,5m,20,pre_ny,W3,exit3,1.0,,high,False,15,0.0232,20.0,0.21,-0.853,-12.8,-12.2,4.92
1h,5m,20,pre_ny,W3+W11,fixed2r,1.0,,high,True,8,0.0124,0.0,0.0,-1.498,-12.0,-10.4,4.59
1h,5m,20,pre_ny,W3+W11,exit3,1.0,,high,True,8,0.0124,0.0,0.0,-1.498,-12.0,-10.4,4.59
1h,5m,20,pre_ny,W3,fixed2r,3.0,,mid,False,56,0.0866,10.7,0.15,-1.037,-58.1,-57.8,7.34
1h,5m,20,pre_ny,W3,exit3,3.0,,mid,False,56,0.0866,10.7,0.11,-1.019,-57.1,-56.3,7.34
1h,5m,20,pre_ny,W3+W11,fixed2r,3.0,,mid,True,31,0.0479,9.7,0.16,-1.005,-31.2,-30.0,10.29
1h,5m,20,pre_ny,W3+W11,exit3,3.0,,mid,True,31,0.0479,9.7,0.12,-1.021,-31.7,-30.5,10.29
1h,5m,20,pre_ny,W3,fixed2r,3.0,,high,False,16,0.0247,25.0,0.4,-0.646,-10.3,-12.2,8.96
1h,5m,20,pre_ny,W3,exit3,3.0,,high,False,16,0.0247,25.0,0.3,-0.709,-11.3,-12.2,8.96
1h,5m,20,pre_ny,W3+W11,fixed2r,3.0,,high,True,10,0.0155,0.0,0.0,-1.403,-14.0,-12.4,8.96
1h,5m,20,pre_ny,W3+W11,exit3,3.0,,high,True,10,0.0155,0.0,0.0,-1.403,-14.0,-12.4,8.96
1h,5m,20,pre_ny,W4,fixed2r,1.0,,mid,,69,0.1067,26.1,0.42,-0.59,-40.7,-43.7,6.09
1h,5m,20,pre_ny,W4,exit3,1.0,,mid,,69,0.1067,24.6,0.31,-0.648,-44.7,-45.3,6.09
1h,5m,20,pre_ny,W4,fixed2r,1.0,,high,,15,0.0232,26.7,0.37,-0.654,-9.8,-10.3,3.19
1h,5m,20,pre_ny,W4,exit3,1.0,,high,,15,0.0232,26.7,0.26,-0.721,-10.8,-10.3,3.19
1h,5m,20,pre_ny,W4,fixed2r,3.0,,mid,,82,0.1268,25.6,0.41,-0.611,-50.1,-51.3,6.34
1h,5m,20,pre_ny,W4,exit3,3.0,,mid,,82,0.1268,24.4,0.3,-0.666,-54.6,-54.8,6.34
1h,5m,20,pre_ny,W4,fixed2r,3.0,,high,,18,0.0278,27.8,0.42,-0.592,-10.7,-11.6,4.09
1h,5m,20,pre_ny,W4,exit3,3.0,,high,,18,0.0278,27.8,0.29,-0.676,-12.2,-11.9,4.09
1h,5m,20,pre_ny,W5,target_or_2r,,2.0,,,795,1.229,35.8,0.73,-0.209,-165.9,-174.0,11.25
1h,5m,20,pre_ny,W5,exit3,,2.0,,,795,1.229,34.1,0.72,-0.179,-142.2,-156.4,11.25
1h,5m,20,pre_ny,W5,target_or_2r,,4.0,,,816,1.2615,36.0,0.74,-0.196,-159.9,-171.5,11.94
1h,5m,20,pre_ny,W5,exit3,,4.0,,,816,1.2615,34.1,0.74,-0.158,-128.6,-150.4,11.94
1h,5m,20,pre_ny,W6,fixed2r,,,,,5,0.0077,60.0,1.7,0.302,1.5,-1.1,23.25
1h,5m,20,pre_ny,W6,exit3,,,,,5,0.0077,60.0,1.5,0.219,1.1,-1.1,23.25
1h,5m,20,pre_ny,W7,fixed2r,,,mid,,384,0.5936,22.7,0.28,-0.834,-320.3,-324.8,3.8
1h,5m,20,pre_ny,W7,exit3,,,mid,,384,0.5936,21.6,0.2,-0.874,-335.8,-338.3,3.8
1h,5m,20,pre_ny,W7,fixed2r,,,high,,159,0.2458,15.1,0.15,-1.16,-184.5,-182.7,2.8
1h,5m,20,pre_ny,W7,exit3,,,high,,159,0.2458,14.5,0.1,-1.154,-183.5,-181.7,2.8
1h,5m,20,pre_ny,W8,fixed2r,,,mid,,251,0.388,22.3,0.32,-0.75,-188.1,-191.4,5.9
1h,5m,20,pre_ny,W8,exit3,,,mid,,251,0.388,21.5,0.23,-0.809,-203.1,-204.4,5.9
1h,5m,20,pre_ny,W8,fixed2r,,,high,,62,0.0958,8.1,0.09,-1.219,-75.6,-73.9,4.22
1h,5m,20,pre_ny,W8,exit3,,,high,,62,0.0958,8.1,0.06,-1.163,-72.1,-70.4,4.22
1h,5m,20,ny_am,W1,fixed2r,1.0,,,False,1924,2.9744,36.0,0.92,-0.057,-108.8,-109.3,13.76
1h,5m,20,ny_am,W1,exit3,1.0,,,False,1924,2.9744,36.0,0.84,-0.093,-178.6,-177.2,13.76
1h,5m,20,ny_am,W1+W11,fixed2r,1.0,,,True,773,1.195,35.4,0.9,-0.071,-55.0,-93.9,13.2
1h,5m,20,ny_am,W1+W11,exit3,1.0,,,True,773,1.195,35.4,0.81,-0.113,-87.3,-104.3,13.2
1h,5m,20,ny_am,W1,fixed2r,3.0,,,False,2048,3.1661,35.5,0.92,-0.061,-124.2,-124.8,15.19
1h,5m,20,ny_am,W1,exit3,3.0,,,False,2048,3.1661,35.6,0.85,-0.084,-171.9,-172.1,15.19
1h,5m,20,ny_am,W1+W11,fixed2r,3.0,,,True,884,1.3666,35.6,0.92,-0.055,-48.9,-92.0,14.6
1h,5m,20,ny_am,W1+W11,exit3,3.0,,,True,884,1.3666,35.6,0.85,-0.084,-74.3,-90.9,14.6
1h,5m,20,ny_am,W2,fixed2r,1.0,,,,2428,3.7535,32.4,0.72,-0.225,-545.3,-564.6,9.21
1h,5m,20,ny_am,W2,exit3,1.0,,,,2428,3.7535,32.5,0.65,-0.232,-563.2,-578.5,9.21
1h,5m,20,ny_am,W2,fixed2r,3.0,,,,2614,4.0411,33.3,0.77,-0.182,-474.5,-483.1,10.47
1h,5m,20,ny_am,W2,exit3,3.0,,,,2614,4.0411,33.4,0.69,-0.195,-509.6,-514.7,10.47
1h,5m,20,ny_am,W3,fixed2r,1.0,,mid,False,96,0.1484,20.8,0.27,-0.838,-80.4,-84.0,3.99
1h,5m,20,ny_am,W3,exit3,1.0,,mid,False,96,0.1484,20.8,0.2,-0.843,-80.9,-83.0,3.99
1h,5m,20,ny_am,W3+W11,fixed2r,1.0,,mid,True,68,0.1051,19.1,0.24,-0.893,-60.7,-63.4,4.61
1h,5m,20,ny_am,W3+W11,exit3,1.0,,mid,True,68,0.1051,19.1,0.17,-0.9,-61.2,-62.9,4.61
1h,5m,20,ny_am,W3,fixed2r,1.0,,high,False,14,0.0216,28.6,0.48,-0.545,-7.6,-9.7,4.22
1h,5m,20,ny_am,W3,exit3,1.0,,high,False,14,0.0216,28.6,0.43,-0.474,-6.6,-8.2,4.22
1h,5m,20,ny_am,W3+W11,fixed2r,1.0,,high,True,11,0.017,36.4,0.63,-0.374,-4.1,-6.2,4.11
1h,5m,20,ny_am,W3+W11,exit3,1.0,,high,True,11,0.017,36.4,0.55,-0.374,-4.1,-5.7,4.11
1h,5m,20,ny_am,W3,fixed2r,3.0,,mid,False,105,0.1623,19.0,0.24,-0.881,-92.5,-96.1,4.12
1h,5m,20,ny_am,W3,exit3,3.0,,mid,False,105,0.1623,19.0,0.18,-0.876,-92.0,-94.1,4.12
1h,5m,20,ny_am,W3+W11,fixed2r,3.0,,mid,True,76,0.1175,18.4,0.23,-0.904,-68.7,-71.3,4.15
1h,5m,20,ny_am,W3+W11,exit3,3.0,,mid,True,76,0.1175,18.4,0.16,-0.904,-68.7,-70.3,4.15
1h,5m,20,ny_am,W3,fixed2r,3.0,,high,False,14,0.0216,28.6,0.48,-0.545,-7.6,-9.7,4.22
1h,5m,20,ny_am,W3,exit3,3.0,,high,False,14,0.0216,28.6,0.43,-0.474,-6.6,-8.2,4.22
1h,5m,20,ny_am,W3+W11,fixed2r,3.0,,high,True,11,0.017,36.4,0.63,-0.374,-4.1,-6.2,4.11
1h,5m,20,ny_am,W3+W11,exit3,3.0,,high,True,11,0.017,36.4,0.55,-0.374,-4.1,-5.7,4.11
1h,5m,20,ny_am,W4,fixed2r,1.0,,mid,,149,0.2303,20.8,0.28,-0.828,-123.4,-126.3,5.58
1h,5m,20,ny_am,W4,exit3,1.0,,mid,,149,0.2303,19.5,0.2,-0.882,-131.4,-132.3,5.58
1h,5m,20,ny_am,W4,fixed2r,1.0,,high,,38,0.0587,23.7,0.29,-0.818,-31.1,-30.7,4.09
1h,5m,20,ny_am,W4,exit3,1.0,,high,,38,0.0587,21.1,0.21,-0.831,-31.6,-31.5,4.09
1h,5m,20,ny_am,W4,fixed2r,3.0,,mid,,161,0.2489,20.5,0.27,-0.835,-134.4,-137.3,5.4
1h,5m,20,ny_am,W4,exit3,3.0,,mid,,161,0.2489,19.3,0.2,-0.884,-142.4,-143.3,5.4
1h,5m,20,ny_am,W4,fixed2r,3.0,,high,,42,0.0649,23.8,0.3,-0.787,-33.0,-32.6,4.39
1h,5m,20,ny_am,W4,exit3,3.0,,high,,42,0.0649,21.4,0.22,-0.81,-34.0,-33.9,4.39
1h,5m,20,ny_am,W5,target_or_2r,,2.0,,,2681,4.1447,39.1,0.87,-0.088,-236.1,-237.2,15.29
1h,5m,20,ny_am,W5,exit3,,2.0,,,2681,4.1447,35.4,0.81,-0.11,-295.3,-295.9,15.29
1h,5m,20,ny_am,W5,target_or_2r,,4.0,,,2724,4.2111,39.5,0.89,-0.077,-209.2,-212.3,16.06
1h,5m,20,ny_am,W5,exit3,,4.0,,,2724,4.2111,35.6,0.84,-0.096,-262.6,-263.2,16.06
1h,5m,20,ny_am,W6,fixed2r,,,,,13,0.0201,46.2,1.15,0.072,0.9,-4.7,38.42
1h,5m,20,ny_am,W6,exit3,,,,,13,0.0201,46.2,0.98,-0.009,-0.1,-4.7,38.42
1h,5m,20,ny_am,W7,fixed2r,,,mid,,737,1.1394,20.2,0.28,-0.805,-593.5,-593.0,4.7
1h,5m,20,ny_am,W7,exit3,,,mid,,737,1.1394,19.8,0.21,-0.843,-621.5,-620.5,4.7
1h,5m,20,ny_am,W7,fixed2r,,,high,,353,0.5457,21.0,0.26,-0.85,-300.2,-297.8,4.2
1h,5m,20,ny_am,W7,exit3,,,high,,353,0.5457,19.5,0.18,-0.889,-313.7,-311.3,4.2
1h,5m,20,ny_am,W8,fixed2r,,,mid,,446,0.6895,17.5,0.25,-0.864,-385.5,-385.2,6.06
1h,5m,20,ny_am,W8,exit3,,,mid,,446,0.6895,17.3,0.18,-0.89,-397.0,-395.7,6.06
1h,5m,20,ny_am,W8,fixed2r,,,high,,245,0.3788,26.5,0.45,-0.541,-132.5,-132.8,7.15
1h,5m,20,ny_am,W8,exit3,,,high,,245,0.3788,25.7,0.34,-0.62,-152.0,-151.8,7.15
1h,5m,20,24h-control,W1,fixed2r,1.0,,,False,7255,11.2158,35.0,0.83,-0.13,-946.2,-960.3,10.41
1h,5m,20,24h-control,W1,exit3,1.0,,,False,7255,11.2158,35.0,0.75,-0.154,-1118.1,-1118.5,10.41
1h,5m,20,24h-control,W1+W11,fixed2r,1.0,,,True,1534,2.3715,36.1,0.89,-0.079,-121.6,-208.1,10.92
1h,5m,20,24h-control,W1+W11,exit3,1.0,,,True,1534,2.3715,36.2,0.8,-0.122,-186.7,-206.5,10.92
1h,5m,20,24h-control,W1,fixed2r,3.0,,,False,7727,11.9455,35.0,0.85,-0.116,-897.4,-912.2,12.0
1h,5m,20,24h-control,W1,exit3,3.0,,,False,7727,11.9455,35.0,0.78,-0.134,-1033.1,-1035.8,12.0
1h,5m,20,24h-control,W1+W11,fixed2r,3.0,,,True,1754,2.7116,36.0,0.9,-0.07,-123.6,-200.1,12.3
1h,5m,20,24h-control,W1+W11,exit3,3.0,,,True,1754,2.7116,36.0,0.82,-0.105,-183.3,-194.1,12.3
1h,5m,20,24h-control,W2,fixed2r,1.0,,,,9927,15.3465,32.8,0.67,-0.286,-2840.2,-2854.0,6.37
1h,5m,20,24h-control,W2,exit3,1.0,,,,9927,15.3465,32.8,0.59,-0.287,-2845.8,-2855.0,6.37
1h,5m,20,24h-control,W2,fixed2r,3.0,,,,10617,16.4132,33.3,0.7,-0.246,-2607.8,-2626.7,7.29
1h,5m,20,24h-control,W2,exit3,3.0,,,,10617,16.4132,33.3,0.63,-0.25,-2656.8,-2669.6,7.29
1h,5m,20,24h-control,W3,fixed2r,1.0,,mid,False,210,0.3246,17.1,0.23,-0.928,-194.9,-194.1,4.63
1h,5m,20,24h-control,W3,exit3,1.0,,mid,False,210,0.3246,16.7,0.16,-0.942,-197.9,-196.6,4.63
1h,5m,20,24h-control,W3+W11,fixed2r,1.0,,mid,True,112,0.1731,17.9,0.24,-0.909,-101.8,-101.0,4.86
1h,5m,20,24h-control,W3+W11,exit3,1.0,,mid,True,112,0.1731,17.9,0.18,-0.935,-104.8,-103.5,4.86
1h,5m,20,24h-control,W3,fixed2r,1.0,,high,False,36,0.0557,19.4,0.28,-0.811,-29.2,-32.8,5.46
1h,5m,20,24h-control,W3,exit3,1.0,,high,False,36,0.0557,19.4,0.22,-0.797,-28.7,-30.3,5.46
1h,5m,20,24h-control,W3+W11,fixed2r,1.0,,high,True,23,0.0356,17.4,0.25,-0.907,-20.9,-22.6,4.34
1h,5m,20,24h-control,W3+W11,exit3,1.0,,high,True,23,0.0356,17.4,0.19,-0.907,-20.9,-21.1,4.34
1h,5m,20,24h-control,W3,fixed2r,3.0,,mid,False,233,0.3602,16.3,0.21,-0.952,-221.8,-221.1,4.55
1h,5m,20,24h-control,W3,exit3,3.0,,mid,False,233,0.3602,15.9,0.16,-0.952,-221.8,-220.6,4.55
1h,5m,20,24h-control,W3+W11,fixed2r,3.0,,mid,True,120,0.1855,18.3,0.26,-0.861,-103.3,-104.4,5.19
1h,5m,20,24h-control,W3+W11,exit3,3.0,,mid,True,120,0.1855,18.3,0.19,-0.894,-107.3,-107.9,5.19
1h,5m,20,24h-control,W3,fixed2r,3.0,,high,False,36,0.0557,19.4,0.28,-0.811,-29.2,-32.8,5.46
1h,5m,20,24h-control,W3,exit3,3.0,,high,False,36,0.0557,19.4,0.22,-0.797,-28.7,-30.3,5.46
1h,5m,20,24h-control,W3+W11,fixed2r,3.0,,high,True,23,0.0356,13.0,0.18,-0.986,-22.7,-22.5,4.92
1h,5m,20,24h-control,W3+W11,exit3,3.0,,high,True,23,0.0356,13.0,0.13,-1.008,-23.2,-22.0,4.92
1h,5m,20,24h-control,W4,fixed2r,1.0,,mid,,288,0.4452,21.5,0.31,-0.783,-225.4,-225.9,5.3
1h,5m,20,24h-control,W4,exit3,1.0,,mid,,288,0.4452,20.8,0.22,-0.838,-241.4,-240.6,5.3
1h,5m,20,24h-control,W4,fixed2r,1.0,,high,,65,0.1005,27.7,0.39,-0.666,-43.3,-40.9,4.52
1h,5m,20,24h-control,W4,exit3,1.0,,high,,65,0.1005,26.2,0.29,-0.697,-45.3,-43.9,4.52
1h,5m,20,24h-control,W4,fixed2r,3.0,,mid,,306,0.4731,21.2,0.3,-0.784,-240.0,-240.5,5.33
1h,5m,20,24h-control,W4,exit3,3.0,,mid,,306,0.4731,20.6,0.22,-0.832,-254.5,-253.7,5.33
1h,5m,20,24h-control,W4,fixed2r,3.0,,high,,74,0.1144,27.0,0.39,-0.657,-48.6,-46.3,4.92
1h,5m,20,24h-control,W4,exit3,3.0,,high,,74,0.1144,25.7,0.29,-0.684,-50.6,-49.3,4.92
1h,5m,20,24h-control,W5,target_or_2r,,2.0,,,12183,18.8341,36.1,0.78,-0.172,-2092.0,-2115.6,10.07
1h,5m,20,24h-control,W5,exit3,,2.0,,,12183,18.8341,34.4,0.7,-0.188,-2285.5,-2299.6,10.07
1h,5m,20,24h-control,W5,target_or_2r,,4.0,,,12200,18.8604,36.4,0.8,-0.153,-1870.8,-1891.6,10.86
1h,5m,20,24h-control,W5,exit3,,4.0,,,12200,18.8604,34.7,0.73,-0.169,-2057.2,-2069.8,10.86
1h,5m,20,24h-control,W6,fixed2r,,,,,51,0.0788,37.3,0.84,-0.085,-4.3,-17.8,37.71
1h,5m,20,24h-control,W6,exit3,,,,,51,0.0788,39.2,0.75,-0.13,-6.6,-18.1,37.71
1h,5m,20,24h-control,W7,fixed2r,,,mid,,2488,3.8463,21.3,0.25,-0.892,-2218.7,-2222.2,3.25
1h,5m,20,24h-control,W7,exit3,,,mid,,2488,3.8463,19.8,0.17,-0.927,-2306.5,-2307.0,3.25
1h,5m,20,24h-control,W7,fixed2r,,,high,,1399,2.1628,19.9,0.21,-0.996,-1393.8,-1391.4,2.91
1h,5m,20,24h-control,W7,exit3,,,high,,1399,2.1628,18.0,0.14,-1.015,-1419.3,-1416.9,2.91
1h,5m,20,24h-control,W8,fixed2r,,,mid,,1735,2.6822,21.3,0.28,-0.823,-1428.2,-1428.9,4.3
1h,5m,20,24h-control,W8,exit3,,,mid,,1735,2.6822,20.5,0.2,-0.861,-1494.2,-1494.4,4.3
1h,5m,20,24h-control,W8,fixed2r,,,high,,835,1.2909,21.6,0.31,-0.788,-658.0,-658.3,5.1
1h,5m,20,24h-control,W8,exit3,,,high,,835,1.2909,20.7,0.23,-0.824,-688.0,-687.8,5.1
1h,5m,40,asia,W1,fixed2r,1.0,,,False,504,0.7792,37.5,0.92,-0.062,-31.3,-39.2,9.54
1h,5m,40,asia,W1,exit3,1.0,,,False,504,0.7792,37.5,0.82,-0.108,-54.3,-56.6,9.54
1h,5m,40,asia,W1+W11,fixed2r,1.0,,,True,78,0.1206,35.9,0.89,-0.087,-6.8,-22.1,11.38
1h,5m,40,asia,W1+W11,exit3,1.0,,,True,78,0.1206,35.9,0.78,-0.138,-10.8,-19.6,11.38
1h,5m,40,asia,W1,fixed2r,3.0,,,False,545,0.8425,38.7,0.99,-0.004,-2.3,-45.6,11.35
1h,5m,40,asia,W1,exit3,3.0,,,False,545,0.8425,38.7,0.89,-0.061,-33.3,-52.6,11.35
1h,5m,40,asia,W1+W11,fixed2r,3.0,,,True,91,0.1407,37.4,0.97,-0.025,-2.3,-18.6,12.31
1h,5m,40,asia,W1+W11,exit3,3.0,,,True,91,0.1407,37.4,0.82,-0.113,-10.3,-17.9,12.31
1h,5m,40,asia,W2,fixed2r,1.0,,,,726,1.1223,31.5,0.59,-0.371,-269.4,-270.0,4.94
1h,5m,40,asia,W2,exit3,1.0,,,,726,1.1223,31.4,0.52,-0.346,-250.9,-251.6,4.94
1h,5m,40,asia,W2,fixed2r,3.0,,,,790,1.2213,32.4,0.64,-0.308,-243.2,-243.9,5.83
1h,5m,40,asia,W2,exit3,3.0,,,,790,1.2213,32.3,0.57,-0.294,-232.2,-233.1,5.83
1h,5m,40,asia,W3,fixed2r,1.0,,mid,False,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3,exit3,1.0,,mid,False,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3+W11,fixed2r,1.0,,mid,True,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3+W11,exit3,1.0,,mid,True,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3,fixed2r,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,40,asia,W3,exit3,1.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,40,asia,W3+W11,fixed2r,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,40,asia,W3+W11,exit3,1.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,40,asia,W3,fixed2r,3.0,,mid,False,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3,exit3,3.0,,mid,False,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3+W11,fixed2r,3.0,,mid,True,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3+W11,exit3,3.0,,mid,True,1,0.0015,0.0,0.0,-1.059,-1.1,0.0,20.24
1h,5m,40,asia,W3,fixed2r,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,40,asia,W3,exit3,3.0,,high,False,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,40,asia,W3+W11,fixed2r,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
1h,5m,40,asia,W3+W11,exit3,3.0,,high,True,0,0.0,0.0,0.0,0.0,0.0,0.0,
