ts,direction,entry,stop_pts,R,mae_r,risk_usd
2019-09-16 09:30:00-04:00,short,1501.848,4.833214285714373,0.5758072858937011,0.9000221680337074,48.33214285714373
2019-09-18 11:15:00-04:00,short,1508.028,2.431392857142831,-1.1233860661877924,1.229747793005202,24.313928571428313
2019-10-16 09:15:00-04:00,short,1489.048,2.6886428571428627,1.3884195425201427,0.23803830929043815,26.886428571428628
2019-10-22 15:15:00-04:00,short,1487.515,2.143392857142844,-0.10870615679413205,0.33265017079062154,21.433928571428442
2019-10-23 09:15:00-04:00,short,1492.105,2.661964285714289,-1.1126987321392479,1.1619239283558327,26.61964285714289
2019-10-24 09:45:00-04:00,short,1499.548,2.405357142857172,-1.1247216035634662,1.4758723088344103,24.05357142857172
2019-10-25 09:15:00-04:00,short,1517.488,3.060642857142909,1.40198137646152,0.016336437256396916,30.606428571429092
2019-11-18 09:45:00-05:00,short,1471.398,2.0461071428571653,1.3533801120594993,0.09285926236235133,20.461071428571653
2019-11-26 11:30:00-05:00,short,1460.248,2.7993214285714476,-0.8394891619142174,0.870568122376554,27.993214285714476
2019-11-29 10:15:00-05:00,short,1459.968,1.6850357142856995,-1.1780377694411095,1.1869184629406009,16.850357142856996
2019-12-03 09:15:00-05:00,short,1475.148,2.908285714285788,-1.103153551429394,1.0693584831516032,29.082857142857883
2019-12-05 10:15:00-05:00,short,1478.148,1.95814285714284,-1.153206390895131,1.0928722550522236,19.5814285714284
2019-12-17 09:45:00-05:00,short,1477.295,1.1937857142856956,1.2486986178423942,0.27894453419482207,11.937857142856956
2019-12-19 13:00:00-05:00,short,1479.758,1.84360714285713,-1.162724472598336,1.0360124755428275,18.4360714285713
2019-12-23 09:15:00-05:00,short,1482.798,1.416214285714245,-1.2118323498259722,1.4475210571443076,14.16214285714245
2019-12-24 09:15:00-05:00,short,1490.798,1.524642857142835,-1.1967673928320957,2.09885219020854,15.24642857142835
2019-12-26 09:15:00-05:00,short,1507.765,2.8992857142857815,-1.1034737620103252,1.6497166789848996,28.992857142857815
2020-01-23 09:45:00-05:00,short,1562.915,2.2784999999999838,-1.1316655694535496,1.5023041474654493,22.784999999999837
2020-01-24 10:30:00-05:00,short,1574.828,3.761357142857167,1.420241554150312,0.1613779221025758,37.61357142857167
2020-01-27 09:15:00-05:00,short,1582.465,4.083107142857184,-0.1182922669185727,0.84323038302412,40.83107142857184
2020-02-13 09:15:00-05:00,short,1574.135,2.150678571428557,-1.1394908583669086,1.9124196682110688,21.50678571428557
2020-02-14 09:15:00-05:00,short,1579.625,1.8606428571428797,-1.1612345963376913,1.710699067142668,18.606428571428797
2020-04-22 09:15:00-04:00,short,1703.268,8.250535714285654,-1.0363612752418687,1.0181157067722784,82.50535714285654
2020-04-29 15:45:00-04:00,short,1714.728,6.365142857142821,-0.09269234222102005,0.14925038154233675,63.65142857142821
2020-05-07 09:15:00-04:00,short,1694.918,4.526035714285708,-1.0662831711762715,1.2174009106045682,45.26035714285708
2020-05-12 09:30:00-04:00,short,1703.888,3.601071428571442,-1.0833085391252646,1.5884161459882988,36.01071428571442
2020-05-13 09:15:00-04:00,short,1714.688,4.524750000000024,1.4336979943643353,0.29614895850597517,45.247500000000244
2020-05-14 09:45:00-04:00,short,1725.998,4.0821428571428475,-1.0734908136482821,1.5065616797899963,40.82142857142848
2020-05-15 09:30:00-04:00,short,1743.068,4.903928571428569,1.4388245575704628,0.1264292476877381,49.03928571428569
2020-05-19 09:45:00-04:00,short,1739.765,4.736035714285736,-1.0633441169151259,1.2464010738335516,47.36035714285735
2020-05-20 09:15:00-04:00,short,1748.535,3.1020000000000003,-1.096711798839487,1.1518375241779062,31.020000000000003
2020-05-22 09:30:00-04:00,short,1731.848,4.5162857142856945,-1.0664262668438018,1.3351679635604476,45.16285714285694
2020-05-28 09:15:00-04:00,short,1722.815,4.5885000000000264,-1.0653808434128884,1.0053394355453917,45.88500000000026
2020-06-01 11:45:00-04:00,short,1740.858,5.09560714285714,0.12952332891777252,0.06672413913948345,50.9560714285714
2020-06-02 09:30:00-04:00,short,1744.208,2.8484999999999525,1.394681411269063,0.2808495699490847,28.484999999999523
2020-06-04 09:15:00-04:00,short,1713.438,5.016964285714315,1.4402028830752887,0.5800320341697487,50.16964285714315
2020-06-19 09:15:00-04:00,short,1735.988,3.134678571428578,-1.0957035923027019,1.4036526871061732,31.34678571428578
2020-06-22 09:15:00-04:00,short,1754.648,3.88328571428573,-1.0772541662067991,1.2978699922746273,38.8328571428573
