feature,label,quintile,rule,is_hit,is_n,oos_hit,oos_n
pm_range,L3_reversal_touch,top20,predict_continuation,0.635,277,0.64,358
pd_range_pctile,L3_reversal_touch,bottom20,predict_reversal,0.293,283,0.366,134
pd_range_pctile,L3_reversal_touch,bottom20,predict_continuation,0.707,283,0.634,134
pd_range_pctile,L3_reversal_touch,top20,predict_reversal,0.399,293,0.42,143
pd_range_pctile,L3_reversal_touch,top20,predict_continuation,0.601,293,0.58,143
pd_dir,L3_reversal_touch,bottom20,predict_reversal,0.354,571,0.413,269
pd_dir,L3_reversal_touch,bottom20,predict_continuation,0.646,571,0.587,269
pd_dir,L3_reversal_touch,top20,predict_reversal,0.344,811,0.349,392
pd_dir,L3_reversal_touch,top20,predict_continuation,0.656,811,0.651,392
atr_pctile,L3_reversal_touch,bottom20,predict_reversal,0.353,278,0.361,122
atr_pctile,L3_reversal_touch,bottom20,predict_continuation,0.647,278,0.639,122
atr_pctile,L3_reversal_touch,top20,predict_reversal,0.366,279,0.416,161
atr_pctile,L3_reversal_touch,top20,predict_continuation,0.634,279,0.584,161
dist_pdh_pdl,L3_reversal_touch,bottom20,predict_reversal,0.296,277,0.371,132
dist_pdh_pdl,L3_reversal_touch,bottom20,predict_continuation,0.704,277,0.629,132
dist_pdh_pdl,L3_reversal_touch,top20,predict_reversal,0.141,277,0.202,124
dist_pdh_pdl,L3_reversal_touch,top20,predict_continuation,0.859,277,0.798,124
