level,model,params,verdict,n,pf,freq_tr_wk,last6_pos,last6_of,canary_pass,label,reasons,per_year_pf
PMH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,5991,0.728,9.276,0,6,,,PF 0.728 < 1.15; only 0/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.507, 2015: 0.488, 2016: 0.644, 2017: 0.535, 2018: 0.923, 2019: 0.753, 2020: 0.801, 2021: 0.804, 2022: 0.974, 2023: 0.69, 2024: 0.763, 2025: 0.916, 2026: 0.975}"
PMH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,8123,0.78,12.577,1,6,,,PF 0.780 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.569, 2015: 0.59, 2016: 0.685, 2017: 0.619, 2018: 1.061, 2019: 0.772, 2020: 0.798, 2021: 0.817, 2022: 1.034, 2023: 0.767, 2024: 0.841, 2025: 0.912, 2026: 0.848}"
PMH,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,8123,0.761,12.577,1,6,,,PF 0.761 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.56, 2015: 0.567, 2016: 0.652, 2017: 0.567, 2018: 0.972, 2019: 0.794, 2020: 0.803, 2021: 0.821, 2022: 1.051, 2023: 0.723, 2024: 0.798, 2025: 0.934, 2026: 0.885}"
PMH,break_retest_continuation,{'exit_type': 1.5},DEAD,7933,0.758,12.288,4,6,,,PF 0.758 < 1.15,"{2014: 0.399, 2015: 0.495, 2016: 0.579, 2017: 0.347, 2018: 0.721, 2019: 0.668, 2020: 1.192, 2021: 0.849, 2022: 1.168, 2023: 0.98, 2024: 1.011, 2025: 1.17, 2026: 1.228}"
PMH,break_retest_continuation,{'exit_type': 'exit3'},DEAD,7933,0.732,12.288,4,6,,,PF 0.732 < 1.15,"{2014: 0.356, 2015: 0.475, 2016: 0.522, 2017: 0.33, 2018: 0.726, 2019: 0.637, 2020: 1.188, 2021: 0.867, 2022: 1.19, 2023: 1.033, 2024: 0.924, 2025: 1.152, 2026: 1.268}"
PMH,failed_break_back_into_range,"{'fb_bars': 2, 'exit_type': 1.5}",DEAD,3206,0.822,4.966,2,6,,,PF 0.822 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.616, 2015: 0.723, 2016: 0.732, 2017: 0.572, 2018: 1.184, 2019: 0.792, 2020: 0.804, 2021: 0.83, 2022: 1.133, 2023: 0.88, 2024: 0.805, 2025: 1.026, 2026: 0.833}"
PMH,failed_break_back_into_range,"{'fb_bars': 2, 'exit_type': 'exit3'}",DEAD,3206,0.812,4.966,2,6,,,PF 0.812 < 1.15; only 2/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.603, 2015: 0.739, 2016: 0.706, 2017: 0.534, 2018: 1.021, 2019: 0.841, 2020: 0.856, 2021: 0.842, 2022: 1.211, 2023: 0.767, 2024: 0.855, 2025: 1.043, 2026: 0.846}"
PMH,failed_break_back_into_range,"{'fb_bars': 4, 'exit_type': 1.5}",DEAD,4819,0.838,7.465,1,6,,,PF 0.838 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.66, 2015: 0.725, 2016: 0.722, 2017: 0.651, 2018: 1.191, 2019: 0.869, 2020: 0.79, 2021: 0.834, 2022: 1.244, 2023: 0.855, 2024: 0.861, 2025: 0.947, 2026: 0.681}"
PMH,failed_break_back_into_range,"{'fb_bars': 4, 'exit_type': 'exit3'}",DEAD,4819,0.83,7.465,1,6,,,PF 0.830 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.646, 2015: 0.731, 2016: 0.699, 2017: 0.631, 2018: 1.03, 2019: 0.911, 2020: 0.81, 2021: 0.861, 2022: 1.28, 2023: 0.799, 2024: 0.899, 2025: 0.979, 2026: 0.691}"
PML,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,6315,0.818,9.791,1,6,,,PF 0.818 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.776, 2015: 0.95, 2016: 0.692, 2017: 0.744, 2018: 0.749, 2019: 0.654, 2020: 1.045, 2021: 0.75, 2022: 0.824, 2023: 0.803, 2024: 0.943, 2025: 0.853, 2026: 1.243}"
PML,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 1, 'exit_type': 'exit3'}",DEAD,6315,0.799,9.791,1,6,,,PF 0.799 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.735, 2015: 0.852, 2016: 0.68, 2017: 0.69, 2018: 0.715, 2019: 0.656, 2020: 1.073, 2021: 0.729, 2022: 0.775, 2023: 0.825, 2024: 0.955, 2025: 0.889, 2026: 1.215}"
PML,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 1.5}",DEAD,8249,0.854,12.789,1,6,,,PF 0.854 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.788, 2015: 0.962, 2016: 0.754, 2017: 0.763, 2018: 0.773, 2019: 0.715, 2020: 1.057, 2021: 0.827, 2022: 0.877, 2023: 0.89, 2024: 0.875, 2025: 0.878, 2026: 1.344}"
PML,sweep_reclaim_reversal,"{'tick_mult': 1, 'reclaim_bars': 3, 'exit_type': 'exit3'}",DEAD,8249,0.841,12.789,1,6,,,PF 0.841 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.748, 2015: 0.878, 2016: 0.727, 2017: 0.714, 2018: 0.744, 2019: 0.73, 2020: 1.118, 2021: 0.843, 2022: 0.84, 2023: 0.895, 2024: 0.875, 2025: 0.91, 2026: 1.315}"
PML,sweep_reclaim_reversal,"{'tick_mult': 3, 'reclaim_bars': 1, 'exit_type': 1.5}",DEAD,5952,0.841,9.228,1,6,,,PF 0.841 < 1.15; only 1/6 of last-6-full-years PF>=1.0 (need >=4),"{2014: 0.841, 2015: 0.968, 2016: 0.72, 2017: 0.827, 2018: 0.755, 2019: 0.68, 2020: 1.073, 2021: 0.76, 2022: 0.837, 2023: 0.798, 2024: 0.936, 2025: 0.842, 2026: 1.227}"
