pd_tf,sig_tf,session,tick_mult,disp_min,disc,entry_style,exit_type,n,tr_wk,win_pct,PF,expR,totR,maxDD_R,med_stop_pts
4h,5m,24h,3,2,True,mid,exit3,596,0.921,31.5,0.62,-0.257,-153.2,-155.2,10.36
4h,15m,ny_am,1,1,False,top,fixed2r,197,0.305,37.1,0.93,-0.047,-9.3,-28.3,22.6
4h,15m,ny_am,1,1,False,top,exit3,197,0.305,37.6,0.84,-0.09,-17.8,-32.2,22.6
4h,15m,ny_am,1,1,False,mid,fixed2r,199,0.308,41.2,1.13,0.082,16.3,-19.8,22.51
4h,15m,ny_am,1,1,False,mid,exit3,199,0.308,42.2,0.98,-0.009,-1.8,-26.8,22.51
4h,15m,ny_am,1,1,True,top,fixed2r,89,0.138,33.7,0.85,-0.113,-10.1,-22.5,22.19
4h,15m,ny_am,1,1,True,top,exit3,89,0.138,33.7,0.76,-0.146,-13.0,-20.9,22.19
4h,15m,ny_am,1,1,True,mid,fixed2r,92,0.142,40.2,1.09,0.065,6.0,-15.4,21.0
4h,15m,ny_am,1,1,True,mid,exit3,92,0.142,40.2,0.96,-0.021,-1.9,-16.2,21.0
4h,15m,ny_am,1,2,False,top,fixed2r,178,0.275,38.8,0.99,-0.006,-1.0,-20.3,23.21
4h,15m,ny_am,1,2,False,top,exit3,178,0.275,38.8,0.91,-0.053,-9.4,-22.3,23.21
4h,15m,ny_am,1,2,False,mid,fixed2r,178,0.275,42.7,1.19,0.118,21.1,-18.1,22.66
4h,15m,ny_am,1,2,False,mid,exit3,178,0.275,43.3,1.04,0.024,4.3,-20.2,22.66
4h,15m,ny_am,1,2,True,top,fixed2r,79,0.122,34.2,0.86,-0.099,-7.8,-16.6,22.5
4h,15m,ny_am,1,2,True,top,exit3,79,0.122,34.2,0.79,-0.129,-10.2,-15.0,22.5
4h,15m,ny_am,1,2,True,mid,fixed2r,82,0.127,40.2,1.1,0.068,5.5,-14.2,23.05
4h,15m,ny_am,1,2,True,mid,exit3,82,0.127,40.2,0.99,-0.005,-0.4,-13.2,23.05
4h,15m,ny_am,3,1,False,top,fixed2r,191,0.295,37.2,0.94,-0.042,-8.0,-28.1,22.99
4h,15m,ny_am,3,1,False,top,exit3,191,0.295,37.7,0.85,-0.083,-15.8,-30.3,22.99
4h,15m,ny_am,3,1,False,mid,fixed2r,193,0.298,41.5,1.12,0.079,15.2,-21.8,23.1
4h,15m,ny_am,3,1,False,mid,exit3,193,0.298,42.5,0.98,-0.01,-1.9,-28.0,23.1
4h,15m,ny_am,3,1,True,top,fixed2r,86,0.133,32.6,0.81,-0.141,-12.2,-23.8,21.81
4h,15m,ny_am,3,1,True,top,exit3,86,0.133,32.6,0.73,-0.168,-14.4,-21.1,21.81
4h,15m,ny_am,3,1,True,mid,fixed2r,89,0.138,39.3,1.02,0.016,1.4,-18.0,22.69
4h,15m,ny_am,3,1,True,mid,exit3,89,0.138,39.3,0.9,-0.062,-5.5,-19.6,22.69
4h,15m,ny_am,3,2,False,top,fixed2r,173,0.267,38.7,0.99,-0.005,-0.8,-21.7,23.76
4h,15m,ny_am,3,2,False,top,exit3,173,0.267,38.7,0.91,-0.049,-8.5,-22.5,23.76
4h,15m,ny_am,3,2,False,mid,fixed2r,173,0.267,42.8,1.17,0.109,18.8,-17.7,23.41
4h,15m,ny_am,3,2,False,mid,exit3,173,0.267,43.4,1.03,0.018,3.1,-22.5,23.41
4h,15m,ny_am,3,2,True,top,fixed2r,76,0.117,32.9,0.83,-0.13,-9.9,-16.9,22.54
4h,15m,ny_am,3,2,True,top,exit3,76,0.117,32.9,0.75,-0.154,-11.7,-14.1,22.54
4h,15m,ny_am,3,2,True,mid,fixed2r,79,0.122,39.2,1.02,0.012,0.9,-15.6,23.63
4h,15m,ny_am,3,2,True,mid,exit3,79,0.122,39.2,0.92,-0.051,-4.0,-16.0,23.63
4h,15m,london,1,1,False,top,fixed2r,163,0.252,38.7,1.03,0.021,3.4,-24.1,14.37
4h,15m,london,1,1,False,top,exit3,163,0.252,38.7,0.95,-0.025,-4.1,-20.8,14.37
